horizon,target_variable,age_id,scenario_id,value,sample,location
29 wk,inc death,child,A,0,0,PL
30 wk,inc death,child,A,1,0,PL
31 wk,inc death,child,A,4,0,PL
32 wk,inc death,child,A,3,0,PL
33 wk,inc death,child,A,4,0,PL
34 wk,inc death,child,A,4,0,PL
35 wk,inc death,child,A,2,0,PL
36 wk,inc death,child,A,0,0,PL
37 wk,inc death,child,A,1,0,PL
38 wk,inc death,child,A,1,0,PL
39 wk,inc death,child,A,0,0,PL
40 wk,inc death,child,A,0,0,PL
41 wk,inc death,child,A,0,0,PL
42 wk,inc death,child,A,0,0,PL
1 wk,inc hosp,child,A,30,0,PL
2 wk,inc hosp,child,A,10,0,PL
3 wk,inc hosp,child,A,14,0,PL
4 wk,inc hosp,child,A,8,0,PL
5 wk,inc hosp,child,A,7,0,PL
6 wk,inc hosp,child,A,2,0,PL
7 wk,inc hosp,child,A,1,0,PL
8 wk,inc hosp,child,A,0,0,PL
9 wk,inc hosp,child,A,2,0,PL
10 wk,inc hosp,child,A,1,0,PL
11 wk,inc hosp,child,A,1,0,PL
12 wk,inc hosp,child,A,1,0,PL
13 wk,inc hosp,child,A,0,0,PL
14 wk,inc hosp,child,A,2,0,PL
15 wk,inc hosp,child,A,0,0,PL
16 wk,inc hosp,child,A,1,0,PL
17 wk,inc hosp,child,A,0,0,PL
18 wk,inc hosp,child,A,2,0,PL
19 wk,inc hosp,child,A,0,0,PL
20 wk,inc hosp,child,A,0,0,PL
21 wk,inc hosp,child,A,1,0,PL
22 wk,inc hosp,child,A,0,0,PL
23 wk,inc hosp,child,A,0,0,PL
24 wk,inc hosp,child,A,0,0,PL
25 wk,inc hosp,child,A,3,0,PL
26 wk,inc hosp,child,A,4,0,PL
27 wk,inc hosp,child,A,10,0,PL
28 wk,inc hosp,child,A,15,0,PL
29 wk,inc hosp,child,A,28,0,PL
30 wk,inc hosp,child,A,28,0,PL
31 wk,inc hosp,child,A,39,0,PL
32 wk,inc hosp,child,A,41,0,PL
33 wk,inc hosp,child,A,30,0,PL
34 wk,inc hosp,child,A,18,0,PL
35 wk,inc hosp,child,A,7,0,PL
36 wk,inc hosp,child,A,6,0,PL
37 wk,inc hosp,child,A,2,0,PL
38 wk,inc hosp,child,A,0,0,PL
39 wk,inc hosp,child,A,0,0,PL
40 wk,inc hosp,child,A,1,0,PL
41 wk,inc hosp,child,A,0,0,PL
42 wk,inc hosp,child,A,0,0,PL
1 wk,inc infection,adult,A,879012,0,PL
2 wk,inc infection,adult,A,616907,0,PL
3 wk,inc infection,adult,A,394939,0,PL
4 wk,inc infection,adult,A,251409,0,PL
5 wk,inc infection,adult,A,166888,0,PL
6 wk,inc infection,adult,A,117953,0,PL
7 wk,inc infection,adult,A,85382,0,PL
8 wk,inc infection,adult,A,63526,0,PL
9 wk,inc infection,adult,A,49843,0,PL
10 wk,inc infection,adult,A,41242,0,PL
11 wk,inc infection,adult,A,36972,0,PL
12 wk,inc infection,adult,A,36074,0,PL
13 wk,inc infection,adult,A,38194,0,PL
14 wk,inc infection,adult,A,41300,0,PL
15 wk,inc infection,adult,A,40228,0,PL
16 wk,inc infection,adult,A,37010,0,PL
17 wk,inc infection,adult,A,37214,0,PL
18 wk,inc infection,adult,A,38126,0,PL
19 wk,inc infection,adult,A,41461,0,PL
20 wk,inc infection,adult,A,46169,0,PL
21 wk,inc infection,adult,A,55121,0,PL
22 wk,inc infection,adult,A,68241,0,PL
23 wk,inc infection,adult,A,86776,0,PL
24 wk,inc infection,adult,A,120270,0,PL
25 wk,inc infection,adult,A,201314,0,PL
26 wk,inc infection,adult,A,389308,0,PL
27 wk,inc infection,adult,A,764336,0,PL
28 wk,inc infection,adult,A,1270269,0,PL
29 wk,inc infection,adult,A,1786006,0,PL
30 wk,inc infection,adult,A,2263980,0,PL
31 wk,inc infection,adult,A,2369960,0,PL
32 wk,inc infection,adult,A,1993198,0,PL
33 wk,inc infection,adult,A,1279598,0,PL
34 wk,inc infection,adult,A,622129,0,PL
35 wk,inc infection,adult,A,265396,0,PL
36 wk,inc infection,adult,A,122098,0,PL
37 wk,inc infection,adult,A,65934,0,PL
38 wk,inc infection,adult,A,42507,0,PL
39 wk,inc infection,adult,A,32383,0,PL
40 wk,inc infection,adult,A,29083,0,PL
41 wk,inc infection,adult,A,28677,0,PL
42 wk,inc infection,adult,A,4208,0,PL
1 wk,inc death,adult,A,86,0,PL
2 wk,inc death,adult,A,78,0,PL
3 wk,inc death,adult,A,43,0,PL
4 wk,inc death,adult,A,32,0,PL
5 wk,inc death,adult,A,16,0,PL
6 wk,inc death,adult,A,12,0,PL
7 wk,inc death,adult,A,9,0,PL
8 wk,inc death,adult,A,10,0,PL
9 wk,inc death,adult,A,2,0,PL
10 wk,inc death,adult,A,4,0,PL
11 wk,inc death,adult,A,3,0,PL
12 wk,inc death,adult,A,1,0,PL
13 wk,inc death,adult,A,4,0,PL
14 wk,inc death,adult,A,0,0,PL
15 wk,inc death,adult,A,2,0,PL
16 wk,inc death,adult,A,1,0,PL
17 wk,inc death,adult,A,1,0,PL
18 wk,inc death,adult,A,1,0,PL
19 wk,inc death,adult,A,1,0,PL
20 wk,inc death,adult,A,2,0,PL
21 wk,inc death,adult,A,2,0,PL
22 wk,inc death,adult,A,1,0,PL
23 wk,inc death,adult,A,2,0,PL
24 wk,inc death,adult,A,3,0,PL
25 wk,inc death,adult,A,3,0,PL
26 wk,inc death,adult,A,3,0,PL
27 wk,inc death,adult,A,5,0,PL
28 wk,inc death,adult,A,15,0,PL
29 wk,inc death,adult,A,31,0,PL
30 wk,inc death,adult,A,64,0,PL
31 wk,inc death,adult,A,63,0,PL
32 wk,inc death,adult,A,115,0,PL
33 wk,inc death,adult,A,110,0,PL
34 wk,inc death,adult,A,100,0,PL
35 wk,inc death,adult,A,67,0,PL
36 wk,inc death,adult,A,45,0,PL
37 wk,inc death,adult,A,23,0,PL
38 wk,inc death,adult,A,12,0,PL
39 wk,inc death,adult,A,3,0,PL
40 wk,inc death,adult,A,3,0,PL
41 wk,inc death,adult,A,0,0,PL
42 wk,inc death,adult,A,0,0,PL
1 wk,inc hosp,adult,A,618,0,PL
2 wk,inc hosp,adult,A,404,0,PL
3 wk,inc hosp,adult,A,264,0,PL
4 wk,inc hosp,adult,A,172,0,PL
5 wk,inc hosp,adult,A,116,0,PL
6 wk,inc hosp,adult,A,76,0,PL
7 wk,inc hosp,adult,A,56,0,PL
8 wk,inc hosp,adult,A,42,0,PL
9 wk,inc hosp,adult,A,25,0,PL
10 wk,inc hosp,adult,A,31,0,PL
11 wk,inc hosp,adult,A,21,0,PL
12 wk,inc hosp,adult,A,12,0,PL
13 wk,inc hosp,adult,A,15,0,PL
14 wk,inc hosp,adult,A,14,0,PL
15 wk,inc hosp,adult,A,24,0,PL
16 wk,inc hosp,adult,A,16,0,PL
17 wk,inc hosp,adult,A,18,0,PL
18 wk,inc hosp,adult,A,15,0,PL
19 wk,inc hosp,adult,A,16,0,PL
20 wk,inc hosp,adult,A,25,0,PL
21 wk,inc hosp,adult,A,21,0,PL
22 wk,inc hosp,adult,A,23,0,PL
23 wk,inc hosp,adult,A,32,0,PL
24 wk,inc hosp,adult,A,35,0,PL
25 wk,inc hosp,adult,A,40,0,PL
26 wk,inc hosp,adult,A,84,0,PL
27 wk,inc hosp,adult,A,145,0,PL
28 wk,inc hosp,adult,A,312,0,PL
29 wk,inc hosp,adult,A,569,0,PL
30 wk,inc hosp,adult,A,760,0,PL
31 wk,inc hosp,adult,A,992,0,PL
32 wk,inc hosp,adult,A,984,0,PL
33 wk,inc hosp,adult,A,862,0,PL
34 wk,inc hosp,adult,A,591,0,PL
35 wk,inc hosp,adult,A,277,0,PL
36 wk,inc hosp,adult,A,142,0,PL
37 wk,inc hosp,adult,A,46,0,PL
38 wk,inc hosp,adult,A,25,0,PL
39 wk,inc hosp,adult,A,11,0,PL
40 wk,inc hosp,adult,A,13,0,PL
41 wk,inc hosp,adult,A,10,0,PL
42 wk,inc hosp,adult,A,1,0,PL
1 wk,inc infection,older,A,288274,0,PL
2 wk,inc infection,older,A,187648,0,PL
3 wk,inc infection,older,A,116191,0,PL
4 wk,inc infection,older,A,70574,0,PL
5 wk,inc infection,older,A,45469,0,PL
6 wk,inc infection,older,A,31489,0,PL
7 wk,inc infection,older,A,23124,0,PL
8 wk,inc infection,older,A,16727,0,PL
9 wk,inc infection,older,A,13010,0,PL
10 wk,inc infection,older,A,10696,0,PL
11 wk,inc infection,older,A,9773,0,PL
12 wk,inc infection,older,A,9042,0,PL
13 wk,inc infection,older,A,9433,0,PL
14 wk,inc infection,older,A,10457,0,PL
15 wk,inc infection,older,A,10557,0,PL
16 wk,inc infection,older,A,9507,0,PL
17 wk,inc infection,older,A,9490,0,PL
18 wk,inc infection,older,A,9791,0,PL
19 wk,inc infection,older,A,10541,0,PL
20 wk,inc infection,older,A,11700,0,PL
21 wk,inc infection,older,A,13948,0,PL
22 wk,inc infection,older,A,16909,0,PL
23 wk,inc infection,older,A,21463,0,PL
24 wk,inc infection,older,A,29113,0,PL
25 wk,inc infection,older,A,49024,0,PL
26 wk,inc infection,older,A,98430,0,PL
27 wk,inc infection,older,A,213072,0,PL
28 wk,inc infection,older,A,402028,0,PL
29 wk,inc infection,older,A,571267,0,PL
30 wk,inc infection,older,A,715439,0,PL
31 wk,inc infection,older,A,800635,0,PL
32 wk,inc infection,older,A,737416,0,PL
33 wk,inc infection,older,A,520505,0,PL
34 wk,inc infection,older,A,260499,0,PL
35 wk,inc infection,older,A,98136,0,PL
36 wk,inc infection,older,A,36771,0,PL
37 wk,inc infection,older,A,17720,0,PL
38 wk,inc infection,older,A,10759,0,PL
39 wk,inc infection,older,A,7787,0,PL
40 wk,inc infection,older,A,6679,0,PL
41 wk,inc infection,older,A,6730,0,PL
42 wk,inc infection,older,A,1007,0,PL
1 wk,inc death,older,A,688,0,PL
2 wk,inc death,older,A,619,0,PL
3 wk,inc death,older,A,487,0,PL
4 wk,inc death,older,A,285,0,PL
5 wk,inc death,older,A,175,0,PL
6 wk,inc death,older,A,93,0,PL
7 wk,inc death,older,A,53,0,PL
8 wk,inc death,older,A,47,0,PL
9 wk,inc death,older,A,23,0,PL
10 wk,inc death,older,A,18,0,PL
11 wk,inc death,older,A,11,0,PL
12 wk,inc death,older,A,6,0,PL
13 wk,inc death,older,A,11,0,PL
14 wk,inc death,older,A,10,0,PL
15 wk,inc death,older,A,12,0,PL
16 wk,inc death,older,A,12,0,PL
17 wk,inc death,older,A,17,0,PL
18 wk,inc death,older,A,8,0,PL
19 wk,inc death,older,A,10,0,PL
20 wk,inc death,older,A,7,0,PL
21 wk,inc death,older,A,10,0,PL
22 wk,inc death,older,A,15,0,PL
23 wk,inc death,older,A,8,0,PL
24 wk,inc death,older,A,24,0,PL
25 wk,inc death,older,A,22,0,PL
26 wk,inc death,older,A,23,0,PL
27 wk,inc death,older,A,52,0,PL
28 wk,inc death,older,A,75,0,PL
29 wk,inc death,older,A,215,0,PL
30 wk,inc death,older,A,331,0,PL
31 wk,inc death,older,A,523,0,PL
32 wk,inc death,older,A,744,0,PL
33 wk,inc death,older,A,920,0,PL
34 wk,inc death,older,A,884,0,PL
35 wk,inc death,older,A,735,0,PL
36 wk,inc death,older,A,482,0,PL
37 wk,inc death,older,A,242,0,PL
38 wk,inc death,older,A,85,0,PL
39 wk,inc death,older,A,40,0,PL
40 wk,inc death,older,A,12,0,PL
41 wk,inc death,older,A,10,0,PL
42 wk,inc death,older,A,0,0,PL
1 wk,inc hosp,older,A,4377,0,PL
2 wk,inc hosp,older,A,2566,0,PL
3 wk,inc hosp,older,A,1640,0,PL
4 wk,inc hosp,older,A,955,0,PL
5 wk,inc hosp,older,A,541,0,PL
6 wk,inc hosp,older,A,328,0,PL
7 wk,inc hosp,older,A,222,0,PL
8 wk,inc hosp,older,A,183,0,PL
9 wk,inc hosp,older,A,141,0,PL
10 wk,inc hosp,older,A,97,0,PL
11 wk,inc hosp,older,A,87,0,PL
12 wk,inc hosp,older,A,76,0,PL
13 wk,inc hosp,older,A,85,0,PL
14 wk,inc hosp,older,A,67,0,PL
15 wk,inc hosp,older,A,73,0,PL
16 wk,inc hosp,older,A,97,0,PL
17 wk,inc hosp,older,A,56,0,PL
18 wk,inc hosp,older,A,77,0,PL
19 wk,inc hosp,older,A,69,0,PL
20 wk,inc hosp,older,A,86,0,PL
21 wk,inc hosp,older,A,88,0,PL
22 wk,inc hosp,older,A,112,0,PL
23 wk,inc hosp,older,A,116,0,PL
24 wk,inc hosp,older,A,167,0,PL
25 wk,inc hosp,older,A,212,0,PL
26 wk,inc hosp,older,A,371,0,PL
27 wk,inc hosp,older,A,730,0,PL
28 wk,inc hosp,older,A,1678,0,PL
29 wk,inc hosp,older,A,3403,0,PL
30 wk,inc hosp,older,A,4882,0,PL
31 wk,inc hosp,older,A,6071,0,PL
32 wk,inc hosp,older,A,6756,0,PL
33 wk,inc hosp,older,A,6554,0,PL
34 wk,inc hosp,older,A,4728,0,PL
35 wk,inc hosp,older,A,2416,0,PL
36 wk,inc hosp,older,A,849,0,PL
37 wk,inc hosp,older,A,303,0,PL
38 wk,inc hosp,older,A,150,0,PL
39 wk,inc hosp,older,A,82,0,PL
40 wk,inc hosp,older,A,49,0,PL
41 wk,inc hosp,older,A,50,0,PL
42 wk,inc hosp,older,A,8,0,PL
1 wk,inc infection,child,B,377247,0,PL
2 wk,inc infection,child,B,263765,0,PL
3 wk,inc infection,child,B,167257,0,PL
4 wk,inc infection,child,B,106216,0,PL
5 wk,inc infection,child,B,71686,0,PL
6 wk,inc infection,child,B,51682,0,PL
7 wk,inc infection,child,B,36024,0,PL
8 wk,inc infection,child,B,25790,0,PL
9 wk,inc infection,child,B,20878,0,PL
10 wk,inc infection,child,B,18166,0,PL
11 wk,inc infection,child,B,16454,0,PL
12 wk,inc infection,child,B,16479,0,PL
13 wk,inc infection,child,B,17345,0,PL
14 wk,inc infection,child,B,18744,0,PL
15 wk,inc infection,child,B,14075,0,PL
16 wk,inc infection,child,B,12690,0,PL
17 wk,inc infection,child,B,11972,0,PL
18 wk,inc infection,child,B,11831,0,PL
19 wk,inc infection,child,B,12676,0,PL
20 wk,inc infection,child,B,14123,0,PL
21 wk,inc infection,child,B,16265,0,PL
22 wk,inc infection,child,B,20618,0,PL
23 wk,inc infection,child,B,26610,0,PL
24 wk,inc infection,child,B,40396,0,PL
25 wk,inc infection,child,B,90906,0,PL
26 wk,inc infection,child,B,199387,0,PL
27 wk,inc infection,child,B,376910,0,PL
28 wk,inc infection,child,B,565230,0,PL
29 wk,inc infection,child,B,735868,0,PL
30 wk,inc infection,child,B,911698,0,PL
31 wk,inc infection,child,B,994791,0,PL
32 wk,inc infection,child,B,838802,0,PL
33 wk,inc infection,child,B,503822,0,PL
34 wk,inc infection,child,B,232572,0,PL
35 wk,inc infection,child,B,97667,0,PL
36 wk,inc infection,child,B,46159,0,PL
37 wk,inc infection,child,B,25484,0,PL
38 wk,inc infection,child,B,17259,0,PL
39 wk,inc infection,child,B,13379,0,PL
40 wk,inc infection,child,B,11290,0,PL
41 wk,inc infection,child,B,10385,0,PL
42 wk,inc infection,child,B,1498,0,PL
1 wk,inc death,child,B,2,0,PL
2 wk,inc death,child,B,2,0,PL
3 wk,inc death,child,B,1,0,PL
4 wk,inc death,child,B,2,0,PL
5 wk,inc death,child,B,1,0,PL
6 wk,inc death,child,B,1,0,PL
7 wk,inc death,child,B,0,0,PL
8 wk,inc death,child,B,0,0,PL
9 wk,inc death,child,B,0,0,PL
10 wk,inc death,child,B,0,0,PL
11 wk,inc death,child,B,0,0,PL
12 wk,inc death,child,B,0,0,PL
13 wk,inc death,child,B,0,0,PL
14 wk,inc death,child,B,0,0,PL
15 wk,inc death,child,B,0,0,PL
16 wk,inc death,child,B,0,0,PL
17 wk,inc death,child,B,0,0,PL
18 wk,inc death,child,B,0,0,PL
19 wk,inc death,child,B,0,0,PL
20 wk,inc death,child,B,0,0,PL
21 wk,inc death,child,B,0,0,PL
22 wk,inc death,child,B,0,0,PL
23 wk,inc death,child,B,0,0,PL
24 wk,inc death,child,B,0,0,PL
25 wk,inc death,child,B,0,0,PL
26 wk,inc death,child,B,0,0,PL
27 wk,inc death,child,B,0,0,PL
28 wk,inc death,child,B,0,0,PL
29 wk,inc death,child,B,3,0,PL
30 wk,inc death,child,B,2,0,PL
31 wk,inc death,child,B,3,0,PL
32 wk,inc death,child,B,2,0,PL
33 wk,inc death,child,B,8,0,PL
34 wk,inc death,child,B,1,0,PL
35 wk,inc death,child,B,6,0,PL
36 wk,inc death,child,B,0,0,PL
37 wk,inc death,child,B,0,0,PL
38 wk,inc death,child,B,0,0,PL
39 wk,inc death,child,B,0,0,PL
40 wk,inc death,child,B,1,0,PL
41 wk,inc death,child,B,0,0,PL
42 wk,inc death,child,B,0,0,PL
1 wk,inc hosp,child,B,30,0,PL
2 wk,inc hosp,child,B,10,0,PL
3 wk,inc hosp,child,B,14,0,PL
4 wk,inc hosp,child,B,8,0,PL
5 wk,inc hosp,child,B,7,0,PL
6 wk,inc hosp,child,B,2,0,PL
7 wk,inc hosp,child,B,1,0,PL
8 wk,inc hosp,child,B,1,0,PL
9 wk,inc hosp,child,B,2,0,PL
10 wk,inc hosp,child,B,2,0,PL
11 wk,inc hosp,child,B,2,0,PL
12 wk,inc hosp,child,B,1,0,PL
13 wk,inc hosp,child,B,0,0,PL
14 wk,inc hosp,child,B,1,0,PL
15 wk,inc hosp,child,B,2,0,PL
16 wk,inc hosp,child,B,1,0,PL
17 wk,inc hosp,child,B,1,0,PL
18 wk,inc hosp,child,B,0,0,PL
19 wk,inc hosp,child,B,1,0,PL
20 wk,inc hosp,child,B,0,0,PL
21 wk,inc hosp,child,B,0,0,PL
22 wk,inc hosp,child,B,0,0,PL
23 wk,inc hosp,child,B,0,0,PL
24 wk,inc hosp,child,B,1,0,PL
25 wk,inc hosp,child,B,0,0,PL
26 wk,inc hosp,child,B,6,0,PL
27 wk,inc hosp,child,B,5,0,PL
28 wk,inc hosp,child,B,13,0,PL
29 wk,inc hosp,child,B,21,0,PL
30 wk,inc hosp,child,B,32,0,PL
31 wk,inc hosp,child,B,27,0,PL
32 wk,inc hosp,child,B,45,0,PL
33 wk,inc hosp,child,B,35,0,PL
34 wk,inc hosp,child,B,24,0,PL
35 wk,inc hosp,child,B,7,0,PL
36 wk,inc hosp,child,B,3,0,PL
37 wk,inc hosp,child,B,2,0,PL
38 wk,inc hosp,child,B,0,0,PL
39 wk,inc hosp,child,B,1,0,PL
40 wk,inc hosp,child,B,0,0,PL
41 wk,inc hosp,child,B,0,0,PL
42 wk,inc hosp,child,B,0,0,PL
1 wk,inc infection,adult,B,879012,0,PL
2 wk,inc infection,adult,B,616907,0,PL
3 wk,inc infection,adult,B,394939,0,PL
4 wk,inc infection,adult,B,251409,0,PL
5 wk,inc infection,adult,B,166888,0,PL
6 wk,inc infection,adult,B,117953,0,PL
7 wk,inc infection,adult,B,85359,0,PL
8 wk,inc infection,adult,B,63371,0,PL
9 wk,inc infection,adult,B,50357,0,PL
10 wk,inc infection,adult,B,42395,0,PL
11 wk,inc infection,adult,B,38886,0,PL
12 wk,inc infection,adult,B,38374,0,PL
13 wk,inc infection,adult,B,40021,0,PL
14 wk,inc infection,adult,B,44058,0,PL
15 wk,inc infection,adult,B,41688,0,PL
16 wk,inc infection,adult,B,37656,0,PL
17 wk,inc infection,adult,B,36777,0,PL
18 wk,inc infection,adult,B,37949,0,PL
19 wk,inc infection,adult,B,39768,0,PL
20 wk,inc infection,adult,B,44979,0,PL
21 wk,inc infection,adult,B,52888,0,PL
22 wk,inc infection,adult,B,65866,0,PL
23 wk,inc infection,adult,B,84916,0,PL
24 wk,inc infection,adult,B,116198,0,PL
25 wk,inc infection,adult,B,195603,0,PL
26 wk,inc infection,adult,B,376263,0,PL
27 wk,inc infection,adult,B,740988,0,PL
28 wk,inc infection,adult,B,1253140,0,PL
29 wk,inc infection,adult,B,1794341,0,PL
30 wk,inc infection,adult,B,2295552,0,PL
31 wk,inc infection,adult,B,2468775,0,PL
32 wk,inc infection,adult,B,2065194,0,PL
33 wk,inc infection,adult,B,1265210,0,PL
34 wk,inc infection,adult,B,590526,0,PL
35 wk,inc infection,adult,B,247585,0,PL
36 wk,inc infection,adult,B,118616,0,PL
37 wk,inc infection,adult,B,66874,0,PL
38 wk,inc infection,adult,B,45046,0,PL
39 wk,inc infection,adult,B,34693,0,PL
40 wk,inc infection,adult,B,28746,0,PL
41 wk,inc infection,adult,B,26628,0,PL
42 wk,inc infection,adult,B,3817,0,PL
1 wk,inc death,adult,B,86,0,PL
2 wk,inc death,adult,B,78,0,PL
3 wk,inc death,adult,B,43,0,PL
4 wk,inc death,adult,B,32,0,PL
5 wk,inc death,adult,B,16,0,PL
6 wk,inc death,adult,B,12,0,PL
7 wk,inc death,adult,B,9,0,PL
8 wk,inc death,adult,B,4,0,PL
9 wk,inc death,adult,B,3,0,PL
10 wk,inc death,adult,B,4,0,PL
11 wk,inc death,adult,B,1,0,PL
12 wk,inc death,adult,B,2,0,PL
13 wk,inc death,adult,B,2,0,PL
14 wk,inc death,adult,B,2,0,PL
15 wk,inc death,adult,B,1,0,PL
16 wk,inc death,adult,B,3,0,PL
17 wk,inc death,adult,B,2,0,PL
18 wk,inc death,adult,B,2,0,PL
19 wk,inc death,adult,B,3,0,PL
20 wk,inc death,adult,B,0,0,PL
21 wk,inc death,adult,B,2,0,PL
22 wk,inc death,adult,B,3,0,PL
23 wk,inc death,adult,B,1,0,PL
24 wk,inc death,adult,B,2,0,PL
25 wk,inc death,adult,B,2,0,PL
26 wk,inc death,adult,B,3,0,PL
27 wk,inc death,adult,B,6,0,PL
28 wk,inc death,adult,B,16,0,PL
29 wk,inc death,adult,B,24,0,PL
30 wk,inc death,adult,B,38,0,PL
31 wk,inc death,adult,B,74,0,PL
32 wk,inc death,adult,B,100,0,PL
33 wk,inc death,adult,B,110,0,PL
34 wk,inc death,adult,B,97,0,PL
35 wk,inc death,adult,B,62,0,PL
36 wk,inc death,adult,B,32,0,PL
37 wk,inc death,adult,B,17,0,PL
38 wk,inc death,adult,B,10,0,PL
39 wk,inc death,adult,B,3,0,PL
40 wk,inc death,adult,B,0,0,PL
41 wk,inc death,adult,B,3,0,PL
42 wk,inc death,adult,B,0,0,PL
1 wk,inc hosp,adult,B,618,0,PL
2 wk,inc hosp,adult,B,404,0,PL
3 wk,inc hosp,adult,B,264,0,PL
4 wk,inc hosp,adult,B,172,0,PL
5 wk,inc hosp,adult,B,116,0,PL
6 wk,inc hosp,adult,B,76,0,PL
7 wk,inc hosp,adult,B,57,0,PL
8 wk,inc hosp,adult,B,40,0,PL
9 wk,inc hosp,adult,B,24,0,PL
10 wk,inc hosp,adult,B,18,0,PL
11 wk,inc hosp,adult,B,24,0,PL
12 wk,inc hosp,adult,B,16,0,PL
13 wk,inc hosp,adult,B,24,0,PL
14 wk,inc hosp,adult,B,19,0,PL
15 wk,inc hosp,adult,B,19,0,PL
16 wk,inc hosp,adult,B,24,0,PL
17 wk,inc hosp,adult,B,11,0,PL
18 wk,inc hosp,adult,B,12,0,PL
19 wk,inc hosp,adult,B,12,0,PL
20 wk,inc hosp,adult,B,20,0,PL
21 wk,inc hosp,adult,B,17,0,PL
22 wk,inc hosp,adult,B,26,0,PL
23 wk,inc hosp,adult,B,29,0,PL
24 wk,inc hosp,adult,B,33,0,PL
25 wk,inc hosp,adult,B,37,0,PL
26 wk,inc hosp,adult,B,92,0,PL
27 wk,inc hosp,adult,B,165,0,PL
28 wk,inc hosp,adult,B,299,0,PL
29 wk,inc hosp,adult,B,522,0,PL
30 wk,inc hosp,adult,B,747,0,PL
31 wk,inc hosp,adult,B,998,0,PL
32 wk,inc hosp,adult,B,1034,0,PL
33 wk,inc hosp,adult,B,878,0,PL
34 wk,inc hosp,adult,B,543,0,PL
35 wk,inc hosp,adult,B,241,0,PL
36 wk,inc hosp,adult,B,106,0,PL
37 wk,inc hosp,adult,B,44,0,PL
38 wk,inc hosp,adult,B,15,0,PL
39 wk,inc hosp,adult,B,12,0,PL
40 wk,inc hosp,adult,B,11,0,PL
41 wk,inc hosp,adult,B,7,0,PL
42 wk,inc hosp,adult,B,1,0,PL
1 wk,inc infection,older,B,288274,0,PL
2 wk,inc infection,older,B,187648,0,PL
3 wk,inc infection,older,B,116191,0,PL
4 wk,inc infection,older,B,70574,0,PL
5 wk,inc infection,older,B,45469,0,PL
6 wk,inc infection,older,B,31489,0,PL
7 wk,inc infection,older,B,22970,0,PL
8 wk,inc infection,older,B,16921,0,PL
9 wk,inc infection,older,B,13375,0,PL
10 wk,inc infection,older,B,11084,0,PL
