location,scenario_id,horizon,age_id,target_variable,sample,value
ES,E,22 wk,child,inc death,1,0
ES,E,23 wk,child,inc death,1,0
ES,E,24 wk,child,inc death,1,0
ES,E,25 wk,child,inc death,1,0
ES,E,26 wk,child,inc death,1,0
ES,E,27 wk,child,inc death,1,0
ES,E,28 wk,child,inc death,1,0
ES,E,29 wk,child,inc death,1,0
ES,E,30 wk,child,inc death,1,0
ES,E,31 wk,child,inc death,1,0
ES,E,32 wk,child,inc death,1,0
ES,E,33 wk,child,inc death,1,0
ES,E,34 wk,child,inc death,1,0
ES,E,35 wk,child,inc death,1,0
ES,E,36 wk,child,inc death,1,0
ES,E,37 wk,child,inc death,1,0
ES,E,38 wk,child,inc death,1,0
ES,E,39 wk,child,inc death,1,0
ES,E,40 wk,child,inc death,1,0
ES,E,41 wk,child,inc death,1,0
ES,E,1 wk,child,inc dose,1,0
ES,E,2 wk,child,inc dose,1,0
ES,E,3 wk,child,inc dose,1,0
ES,E,4 wk,child,inc dose,1,0
ES,E,5 wk,child,inc dose,1,0
ES,E,6 wk,child,inc dose,1,0
ES,E,7 wk,child,inc dose,1,0
ES,E,8 wk,child,inc dose,1,0
ES,E,9 wk,child,inc dose,1,0
ES,E,10 wk,child,inc dose,1,0
ES,E,11 wk,child,inc dose,1,0
ES,E,12 wk,child,inc dose,1,0
ES,E,13 wk,child,inc dose,1,0
ES,E,14 wk,child,inc dose,1,0
ES,E,15 wk,child,inc dose,1,0
ES,E,16 wk,child,inc dose,1,0
ES,E,17 wk,child,inc dose,1,0
ES,E,18 wk,child,inc dose,1,0
ES,E,19 wk,child,inc dose,1,0
ES,E,20 wk,child,inc dose,1,0
ES,E,21 wk,child,inc dose,1,0
ES,E,22 wk,child,inc dose,1,0
ES,E,23 wk,child,inc dose,1,0
ES,E,24 wk,child,inc dose,1,0
ES,E,25 wk,child,inc dose,1,0
ES,E,26 wk,child,inc dose,1,0
ES,E,27 wk,child,inc dose,1,0
ES,E,28 wk,child,inc dose,1,0
ES,E,29 wk,child,inc dose,1,0
ES,E,30 wk,child,inc dose,1,0
ES,E,31 wk,child,inc dose,1,0
ES,E,32 wk,child,inc dose,1,0
ES,E,33 wk,child,inc dose,1,0
ES,E,34 wk,child,inc dose,1,0
ES,E,35 wk,child,inc dose,1,0
ES,E,36 wk,child,inc dose,1,0
ES,E,37 wk,child,inc dose,1,0
ES,E,38 wk,child,inc dose,1,0
ES,E,39 wk,child,inc dose,1,0
ES,E,40 wk,child,inc dose,1,0
ES,E,41 wk,child,inc dose,1,0
ES,E,1 wk,child,inc hosp,2,0
ES,E,2 wk,child,inc hosp,2,0
ES,E,3 wk,child,inc hosp,2,0
ES,E,4 wk,child,inc hosp,2,0
ES,E,5 wk,child,inc hosp,2,0
ES,E,6 wk,child,inc hosp,2,0
ES,E,7 wk,child,inc hosp,2,0
ES,E,8 wk,child,inc hosp,2,0
ES,E,9 wk,child,inc hosp,2,0
ES,E,10 wk,child,inc hosp,2,0
ES,E,11 wk,child,inc hosp,2,0
ES,E,12 wk,child,inc hosp,2,0
ES,E,13 wk,child,inc hosp,2,0
ES,E,14 wk,child,inc hosp,2,0
ES,E,15 wk,child,inc hosp,2,0
ES,E,16 wk,child,inc hosp,2,0
ES,E,17 wk,child,inc hosp,2,0
ES,E,18 wk,child,inc hosp,2,0
ES,E,19 wk,child,inc hosp,2,0
ES,E,20 wk,child,inc hosp,2,0
ES,E,21 wk,child,inc hosp,2,0
ES,E,22 wk,child,inc hosp,2,0
ES,E,23 wk,child,inc hosp,2,0
ES,E,24 wk,child,inc hosp,2,0
ES,E,25 wk,child,inc hosp,2,0
ES,E,26 wk,child,inc hosp,2,0
ES,E,27 wk,child,inc hosp,2,0
ES,E,28 wk,child,inc hosp,2,0
ES,E,29 wk,child,inc hosp,2,0
ES,E,30 wk,child,inc hosp,2,0
ES,E,31 wk,child,inc hosp,2,0
ES,E,32 wk,child,inc hosp,2,0
ES,E,33 wk,child,inc hosp,2,0
ES,E,34 wk,child,inc hosp,2,0
ES,E,35 wk,child,inc hosp,2,0
ES,E,36 wk,child,inc hosp,2,0
ES,E,37 wk,child,inc hosp,2,0
ES,E,38 wk,child,inc hosp,2,0
ES,E,39 wk,child,inc hosp,2,0
ES,E,40 wk,child,inc hosp,2,0
ES,E,41 wk,child,inc hosp,2,0
ES,E,1 wk,child,inc infection,2,62494
ES,E,2 wk,child,inc infection,2,45090
ES,E,3 wk,child,inc infection,2,39292
ES,E,4 wk,child,inc infection,2,38998
ES,E,5 wk,child,inc infection,2,42084
ES,E,6 wk,child,inc infection,2,42431
ES,E,7 wk,child,inc infection,2,44135
ES,E,8 wk,child,inc infection,2,45759
ES,E,9 wk,child,inc infection,2,43432
ES,E,10 wk,child,inc infection,2,40933
ES,E,11 wk,child,inc infection,2,38851
ES,E,12 wk,child,inc infection,2,38259
ES,E,13 wk,child,inc infection,2,35448
ES,E,14 wk,child,inc infection,2,29023
ES,E,15 wk,child,inc infection,2,24092
ES,E,16 wk,child,inc infection,2,21818
ES,E,17 wk,child,inc infection,2,21957
ES,E,18 wk,child,inc infection,2,24756
ES,E,19 wk,child,inc infection,2,29113
ES,E,20 wk,child,inc infection,2,35234
ES,E,21 wk,child,inc infection,2,68439
ES,E,22 wk,child,inc infection,2,133182
ES,E,23 wk,child,inc infection,2,140819
ES,E,24 wk,child,inc infection,2,103179
ES,E,25 wk,child,inc infection,2,71807
ES,E,26 wk,child,inc infection,2,51873
ES,E,27 wk,child,inc infection,2,40546
ES,E,28 wk,child,inc infection,2,33915
ES,E,29 wk,child,inc infection,2,29662
ES,E,30 wk,child,inc infection,2,29283
ES,E,31 wk,child,inc infection,2,33605
ES,E,32 wk,child,inc infection,2,41898
ES,E,33 wk,child,inc infection,2,54672
ES,E,34 wk,child,inc infection,2,72541
ES,E,35 wk,child,inc infection,2,99085
ES,E,36 wk,child,inc infection,2,124205
ES,E,37 wk,child,inc infection,2,140745
ES,E,38 wk,child,inc infection,2,127749
ES,E,39 wk,child,inc infection,2,96235
ES,E,40 wk,child,inc infection,2,75848
ES,E,41 wk,child,inc infection,2,61713
ES,E,1 wk,child,inc death,2,0
ES,E,2 wk,child,inc death,2,0
ES,E,3 wk,child,inc death,2,0
ES,E,4 wk,child,inc death,2,0
ES,E,5 wk,child,inc death,2,0
ES,E,6 wk,child,inc death,2,0
ES,E,7 wk,child,inc death,2,0
ES,E,8 wk,child,inc death,2,0
ES,E,9 wk,child,inc death,2,0
ES,E,10 wk,child,inc death,2,0
ES,E,11 wk,child,inc death,2,0
ES,E,12 wk,child,inc death,2,0
ES,E,13 wk,child,inc death,2,0
ES,E,14 wk,child,inc death,2,0
ES,E,15 wk,child,inc death,2,0
ES,E,16 wk,child,inc death,2,0
ES,E,17 wk,child,inc death,2,0
ES,E,18 wk,child,inc death,2,0
ES,E,19 wk,child,inc death,2,0
ES,E,20 wk,child,inc death,2,0
ES,E,21 wk,child,inc death,2,0
ES,E,22 wk,child,inc death,2,0
ES,E,23 wk,child,inc death,2,0
ES,E,24 wk,child,inc death,2,0
ES,E,25 wk,child,inc death,2,0
ES,E,26 wk,child,inc death,2,0
ES,E,27 wk,child,inc death,2,0
ES,E,28 wk,child,inc death,2,0
ES,E,29 wk,child,inc death,2,0
ES,E,30 wk,child,inc death,2,0
ES,E,31 wk,child,inc death,2,0
ES,E,32 wk,child,inc death,2,0
ES,E,33 wk,child,inc death,2,0
ES,E,34 wk,child,inc death,2,0
ES,E,35 wk,child,inc death,2,0
ES,E,36 wk,child,inc death,2,0
ES,E,37 wk,child,inc death,2,0
ES,E,38 wk,child,inc death,2,0
ES,E,39 wk,child,inc death,2,0
ES,E,40 wk,child,inc death,2,0
ES,E,41 wk,child,inc death,2,0
ES,E,1 wk,child,inc dose,2,0
ES,E,2 wk,child,inc dose,2,0
ES,E,3 wk,child,inc dose,2,0
ES,E,4 wk,child,inc dose,2,0
ES,E,5 wk,child,inc dose,2,0
ES,E,6 wk,child,inc dose,2,0
ES,E,7 wk,child,inc dose,2,0
ES,E,8 wk,child,inc dose,2,0
ES,E,9 wk,child,inc dose,2,0
ES,E,10 wk,child,inc dose,2,0
ES,E,11 wk,child,inc dose,2,0
ES,E,12 wk,child,inc dose,2,0
ES,E,13 wk,child,inc dose,2,0
ES,E,14 wk,child,inc dose,2,0
ES,E,15 wk,child,inc dose,2,0
ES,E,16 wk,child,inc dose,2,0
ES,E,17 wk,child,inc dose,2,0
ES,E,18 wk,child,inc dose,2,0
ES,E,19 wk,child,inc dose,2,0
ES,E,20 wk,child,inc dose,2,0
ES,E,21 wk,child,inc dose,2,0
ES,E,22 wk,child,inc dose,2,0
ES,E,23 wk,child,inc dose,2,0
ES,E,24 wk,child,inc dose,2,0
ES,E,25 wk,child,inc dose,2,0
ES,E,26 wk,child,inc dose,2,0
ES,E,27 wk,child,inc dose,2,0
ES,E,28 wk,child,inc dose,2,0
ES,E,29 wk,child,inc dose,2,0
ES,E,30 wk,child,inc dose,2,0
ES,E,31 wk,child,inc dose,2,0
ES,E,32 wk,child,inc dose,2,0
ES,E,33 wk,child,inc dose,2,0
ES,E,34 wk,child,inc dose,2,0
ES,E,35 wk,child,inc dose,2,0
ES,E,36 wk,child,inc dose,2,0
ES,E,37 wk,child,inc dose,2,0
ES,E,38 wk,child,inc dose,2,0
ES,E,39 wk,child,inc dose,2,0
ES,E,40 wk,child,inc dose,2,0
ES,E,41 wk,child,inc dose,2,0
ES,E,1 wk,child,inc hosp,3,0
ES,E,2 wk,child,inc hosp,3,0
ES,E,3 wk,child,inc hosp,3,0
ES,E,4 wk,child,inc hosp,3,0
ES,E,5 wk,child,inc hosp,3,0
ES,E,6 wk,child,inc hosp,3,0
ES,E,7 wk,child,inc hosp,3,0
ES,E,8 wk,child,inc hosp,3,0
ES,E,9 wk,child,inc hosp,3,0
ES,E,10 wk,child,inc hosp,3,0
ES,E,11 wk,child,inc hosp,3,0
ES,E,12 wk,child,inc hosp,3,0
ES,E,13 wk,child,inc hosp,3,0
ES,E,14 wk,child,inc hosp,3,0
ES,E,15 wk,child,inc hosp,3,0
ES,E,16 wk,child,inc hosp,3,0
ES,E,17 wk,child,inc hosp,3,0
ES,E,18 wk,child,inc hosp,3,0
ES,E,19 wk,child,inc hosp,3,0
ES,E,20 wk,child,inc hosp,3,0
ES,E,21 wk,child,inc hosp,3,0
ES,E,22 wk,child,inc hosp,3,0
ES,E,23 wk,child,inc hosp,3,0
ES,E,24 wk,child,inc hosp,3,0
ES,E,25 wk,child,inc hosp,3,0
ES,E,26 wk,child,inc hosp,3,0
ES,E,27 wk,child,inc hosp,3,0
ES,E,28 wk,child,inc hosp,3,0
ES,E,29 wk,child,inc hosp,3,0
ES,E,30 wk,child,inc hosp,3,0
ES,E,31 wk,child,inc hosp,3,0
ES,E,32 wk,child,inc hosp,3,0
ES,E,33 wk,child,inc hosp,3,0
ES,E,34 wk,child,inc hosp,3,0
ES,E,35 wk,child,inc hosp,3,0
ES,E,36 wk,child,inc hosp,3,0
ES,E,37 wk,child,inc hosp,3,0
ES,E,38 wk,child,inc hosp,3,0
ES,E,39 wk,child,inc hosp,3,0
ES,E,40 wk,child,inc hosp,3,0
ES,E,41 wk,child,inc hosp,3,0
ES,E,1 wk,child,inc infection,3,62640
ES,E,2 wk,child,inc infection,3,44744
ES,E,3 wk,child,inc infection,3,38992
ES,E,4 wk,child,inc infection,3,37860
ES,E,5 wk,child,inc infection,3,40271
ES,E,6 wk,child,inc infection,3,41071
ES,E,7 wk,child,inc infection,3,43296
ES,E,8 wk,child,inc infection,3,46276
ES,E,9 wk,child,inc infection,3,45736
ES,E,10 wk,child,inc infection,3,42973
ES,E,11 wk,child,inc infection,3,41577
ES,E,12 wk,child,inc infection,3,41533
ES,E,13 wk,child,inc infection,3,37916
ES,E,14 wk,child,inc infection,3,30700
ES,E,15 wk,child,inc infection,3,26144
ES,E,16 wk,child,inc infection,3,23532
ES,E,17 wk,child,inc infection,3,22961
ES,E,18 wk,child,inc infection,3,23860
ES,E,19 wk,child,inc infection,3,25731
ES,E,20 wk,child,inc infection,3,31621
ES,E,21 wk,child,inc infection,3,59825
ES,E,22 wk,child,inc infection,3,122600
ES,E,23 wk,child,inc infection,3,137550
ES,E,24 wk,child,inc infection,3,107089
ES,E,25 wk,child,inc infection,3,78273
ES,E,26 wk,child,inc infection,3,57467
ES,E,27 wk,child,inc infection,3,45931
ES,E,28 wk,child,inc infection,3,37407
ES,E,29 wk,child,inc infection,3,32804
ES,E,30 wk,child,inc infection,3,31933
ES,E,31 wk,child,inc infection,3,35961
ES,E,32 wk,child,inc infection,3,45442
ES,E,33 wk,child,inc infection,3,57093
ES,E,34 wk,child,inc infection,3,71624
ES,E,35 wk,child,inc infection,3,95970
ES,E,36 wk,child,inc infection,3,118955
ES,E,37 wk,child,inc infection,3,134100
ES,E,38 wk,child,inc infection,3,122425
ES,E,39 wk,child,inc infection,3,95148
ES,E,40 wk,child,inc infection,3,76377
ES,E,41 wk,child,inc infection,3,63341
ES,E,1 wk,child,inc death,3,0
ES,E,2 wk,child,inc death,3,0
ES,E,3 wk,child,inc death,3,0
ES,E,4 wk,child,inc death,3,0
ES,E,5 wk,child,inc death,3,0
ES,E,6 wk,child,inc death,3,0
ES,E,7 wk,child,inc death,3,0
ES,E,8 wk,child,inc death,3,0
ES,E,9 wk,child,inc death,3,0
ES,E,10 wk,child,inc death,3,0
ES,E,11 wk,child,inc death,3,0
ES,E,12 wk,child,inc death,3,0
ES,E,13 wk,child,inc death,3,0
ES,E,14 wk,child,inc death,3,0
ES,E,15 wk,child,inc death,3,0
ES,E,16 wk,child,inc death,3,0
ES,E,17 wk,child,inc death,3,0
ES,E,18 wk,child,inc death,3,0
ES,E,19 wk,child,inc death,3,0
ES,E,20 wk,child,inc death,3,0
ES,E,21 wk,child,inc death,3,0
ES,E,22 wk,child,inc death,3,0
ES,E,23 wk,child,inc death,3,0
ES,E,24 wk,child,inc death,3,0
ES,E,25 wk,child,inc death,3,0
ES,E,26 wk,child,inc death,3,0
ES,E,27 wk,child,inc death,3,0
ES,E,28 wk,child,inc death,3,0
ES,E,29 wk,child,inc death,3,0
ES,E,30 wk,child,inc death,3,0
ES,E,31 wk,child,inc death,3,0
ES,E,32 wk,child,inc death,3,0
ES,E,33 wk,child,inc death,3,0
ES,E,34 wk,child,inc death,3,0
ES,E,35 wk,child,inc death,3,0
ES,E,36 wk,child,inc death,3,0
ES,E,37 wk,child,inc death,3,0
ES,E,38 wk,child,inc death,3,0
ES,E,39 wk,child,inc death,3,0
ES,E,40 wk,child,inc death,3,0
ES,E,41 wk,child,inc death,3,0
ES,E,1 wk,child,inc dose,3,0
ES,E,2 wk,child,inc dose,3,0
ES,E,3 wk,child,inc dose,3,0
ES,E,4 wk,child,inc dose,3,0
ES,E,5 wk,child,inc dose,3,0
ES,E,6 wk,child,inc dose,3,0
ES,E,7 wk,child,inc dose,3,0
ES,E,8 wk,child,inc dose,3,0
ES,E,9 wk,child,inc dose,3,0
ES,E,10 wk,child,inc dose,3,0
ES,E,11 wk,child,inc dose,3,0
ES,E,12 wk,child,inc dose,3,0
ES,E,13 wk,child,inc dose,3,0
ES,E,14 wk,child,inc dose,3,0
ES,E,15 wk,child,inc dose,3,0
ES,E,16 wk,child,inc dose,3,0
ES,E,17 wk,child,inc dose,3,0
ES,E,18 wk,child,inc dose,3,0
ES,E,19 wk,child,inc dose,3,0
ES,E,20 wk,child,inc dose,3,0
ES,E,21 wk,child,inc dose,3,0
ES,E,22 wk,child,inc dose,3,0
ES,E,23 wk,child,inc dose,3,0
ES,E,24 wk,child,inc dose,3,0
ES,E,25 wk,child,inc dose,3,0
ES,E,26 wk,child,inc dose,3,0
ES,E,27 wk,child,inc dose,3,0
ES,E,28 wk,child,inc dose,3,0
ES,E,29 wk,child,inc dose,3,0
ES,E,30 wk,child,inc dose,3,0
ES,E,31 wk,child,inc dose,3,0
ES,E,32 wk,child,inc dose,3,0
ES,E,33 wk,child,inc dose,3,0
ES,E,34 wk,child,inc dose,3,0
ES,E,35 wk,child,inc dose,3,0
ES,E,36 wk,child,inc dose,3,0
ES,E,37 wk,child,inc dose,3,0
ES,E,38 wk,child,inc dose,3,0
ES,E,39 wk,child,inc dose,3,0
ES,E,40 wk,child,inc dose,3,0
ES,E,41 wk,child,inc dose,3,0
ES,E,1 wk,child,inc hosp,4,0
ES,E,2 wk,child,inc hosp,4,0
ES,E,3 wk,child,inc hosp,4,0
ES,E,4 wk,child,inc hosp,4,0
ES,E,5 wk,child,inc hosp,4,0
ES,E,6 wk,child,inc hosp,4,0
ES,E,7 wk,child,inc hosp,4,0
ES,E,8 wk,child,inc hosp,4,0
ES,E,9 wk,child,inc hosp,4,0
ES,E,10 wk,child,inc hosp,4,0
ES,E,11 wk,child,inc hosp,4,0
ES,E,12 wk,child,inc hosp,4,0
ES,E,13 wk,child,inc hosp,4,0
ES,E,14 wk,child,inc hosp,4,0
ES,E,15 wk,child,inc hosp,4,0
ES,E,16 wk,child,inc hosp,4,0
ES,E,17 wk,child,inc hosp,4,0
ES,E,18 wk,child,inc hosp,4,0
ES,E,19 wk,child,inc hosp,4,0
ES,E,20 wk,child,inc hosp,4,0
ES,E,21 wk,child,inc hosp,4,0
ES,E,22 wk,child,inc hosp,4,0
ES,E,23 wk,child,inc hosp,4,0
ES,E,24 wk,child,inc hosp,4,0
ES,E,25 wk,child,inc hosp,4,0
ES,E,26 wk,child,inc hosp,4,0
ES,E,27 wk,child,inc hosp,4,0
ES,E,28 wk,child,inc hosp,4,0
ES,E,29 wk,child,inc hosp,4,0
ES,E,30 wk,child,inc hosp,4,0
ES,E,31 wk,child,inc hosp,4,0
ES,E,32 wk,child,inc hosp,4,0
ES,E,33 wk,child,inc hosp,4,0
ES,E,34 wk,child,inc hosp,4,0
ES,E,35 wk,child,inc hosp,4,0
ES,E,36 wk,child,inc hosp,4,0
ES,E,37 wk,child,inc hosp,4,0
ES,E,38 wk,child,inc hosp,4,0
ES,E,39 wk,child,inc hosp,4,0
ES,E,40 wk,child,inc hosp,4,0
ES,E,41 wk,child,inc hosp,4,0
ES,E,1 wk,child,inc infection,4,62511
ES,E,2 wk,child,inc infection,4,45586
ES,E,3 wk,child,inc infection,4,39496
ES,E,4 wk,child,inc infection,4,38266
ES,E,5 wk,child,inc infection,4,40051
ES,E,6 wk,child,inc infection,4,41180
ES,E,7 wk,child,inc infection,4,42752
ES,E,8 wk,child,inc infection,4,43850
ES,E,9 wk,child,inc infection,4,42695
ES,E,10 wk,child,inc infection,4,40716
ES,E,11 wk,child,inc infection,4,39429
ES,E,12 wk,child,inc infection,4,39017
ES,E,13 wk,child,inc infection,4,37089
ES,E,14 wk,child,inc infection,4,30453
ES,E,15 wk,child,inc infection,4,26553
ES,E,16 wk,child,inc infection,4,24833
ES,E,17 wk,child,inc infection,4,24353
ES,E,18 wk,child,inc infection,4,26839
ES,E,19 wk,child,inc infection,4,30539
ES,E,20 wk,child,inc infection,4,36925
ES,E,21 wk,child,inc infection,4,70050
ES,E,22 wk,child,inc infection,4,131709
ES,E,23 wk,child,inc infection,4,137429
ES,E,24 wk,child,inc infection,4,103099
ES,E,25 wk,child,inc infection,4,70290
ES,E,26 wk,child,inc infection,4,50693
ES,E,27 wk,child,inc infection,4,38857
ES,E,28 wk,child,inc infection,4,31808
ES,E,29 wk,child,inc infection,4,27762
ES,E,30 wk,child,inc infection,4,28124
ES,E,31 wk,child,inc infection,4,31717
ES,E,32 wk,child,inc infection,4,39151
ES,E,33 wk,child,inc infection,4,51713
ES,E,34 wk,child,inc infection,4,69951
ES,E,35 wk,child,inc infection,4,99828
ES,E,36 wk,child,inc infection,4,128251
ES,E,37 wk,child,inc infection,4,145635
ES,E,38 wk,child,inc infection,4,132182
ES,E,39 wk,child,inc infection,4,96910
ES,E,40 wk,child,inc infection,4,74755
ES,E,41 wk,child,inc infection,4,60480
ES,E,1 wk,child,inc death,4,0
ES,E,2 wk,child,inc death,4,0
ES,E,3 wk,child,inc death,4,0
ES,E,4 wk,child,inc death,4,0
ES,E,5 wk,child,inc death,4,0
ES,E,6 wk,child,inc death,4,0
ES,E,7 wk,child,inc death,4,0
ES,E,8 wk,child,inc death,4,0
ES,E,9 wk,child,inc death,4,0
ES,E,10 wk,child,inc death,4,0
ES,E,11 wk,child,inc death,4,0
ES,E,12 wk,child,inc death,4,0
ES,E,13 wk,child,inc death,4,0
ES,E,14 wk,child,inc death,4,0
ES,E,15 wk,child,inc death,4,0
ES,E,16 wk,child,inc death,4,0
ES,E,17 wk,child,inc death,4,0
ES,E,18 wk,child,inc death,4,0
ES,E,19 wk,child,inc death,4,0
ES,E,20 wk,child,inc death,4,0
ES,E,21 wk,child,inc death,4,0
ES,E,22 wk,child,inc death,4,0
ES,E,23 wk,child,inc death,4,0
ES,E,24 wk,child,inc death,4,0
ES,E,25 wk,child,inc death,4,0
ES,E,26 wk,child,inc death,4,0
ES,E,27 wk,child,inc death,4,0
ES,E,28 wk,child,inc death,4,0
ES,E,29 wk,child,inc death,4,0
ES,E,30 wk,child,inc death,4,0
ES,E,31 wk,child,inc death,4,0
ES,E,32 wk,child,inc death,4,0
ES,E,33 wk,child,inc death,4,0
ES,E,34 wk,child,inc death,4,0
ES,E,35 wk,child,inc death,4,0
ES,E,36 wk,child,inc death,4,0
ES,E,37 wk,child,inc death,4,0
ES,E,38 wk,child,inc death,4,0
ES,E,39 wk,child,inc death,4,0
ES,E,40 wk,child,inc death,4,0
ES,E,41 wk,child,inc death,4,0
ES,E,1 wk,child,inc dose,4,0
ES,E,2 wk,child,inc dose,4,0
ES,E,3 wk,child,inc dose,4,0
ES,E,4 wk,child,inc dose,4,0
ES,E,5 wk,child,inc dose,4,0
ES,E,6 wk,child,inc dose,4,0
ES,E,7 wk,child,inc dose,4,0
ES,E,8 wk,child,inc dose,4,0
ES,E,9 wk,child,inc dose,4,0
ES,E,10 wk,child,inc dose,4,0
ES,E,11 wk,child,inc dose,4,0
ES,E,12 wk,child,inc dose,4,0
ES,E,13 wk,child,inc dose,4,0
ES,E,14 wk,child,inc dose,4,0
ES,E,15 wk,child,inc dose,4,0
ES,E,16 wk,child,inc dose,4,0
ES,E,17 wk,child,inc dose,4,0
ES,E,18 wk,child,inc dose,4,0
ES,E,19 wk,child,inc dose,4,0
ES,E,20 wk,child,inc dose,4,0
ES,E,21 wk,child,inc dose,4,0
ES,E,22 wk,child,inc dose,4,0
ES,E,23 wk,child,inc dose,4,0
ES,E,24 wk,child,inc dose,4,0
ES,E,25 wk,child,inc dose,4,0
ES,E,26 wk,child,inc dose,4,0
ES,E,27 wk,child,inc dose,4,0
ES,E,28 wk,child,inc dose,4,0
ES,E,29 wk,child,inc dose,4,0
ES,E,30 wk,child,inc dose,4,0
ES,E,31 wk,child,inc dose,4,0
ES,E,32 wk,child,inc dose,4,0
ES,E,33 wk,child,inc dose,4,0
ES,E,34 wk,child,inc dose,4,0
ES,E,35 wk,child,inc dose,4,0
ES,E,36 wk,child,inc dose,4,0
ES,E,37 wk,child,inc dose,4,0
ES,E,38 wk,child,inc dose,4,0
ES,E,39 wk,child,inc dose,4,0
ES,E,40 wk,child,inc dose,4,0
ES,E,41 wk,child,inc dose,4,0
