location,scenario_id,origin_date,target_end_date,horizon,target_variable,sample,value
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc hosp,1,568
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc hosp,1,453
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc hosp,1,327
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc hosp,1,210
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc hosp,1,140
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc hosp,1,135
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc hosp,1,94
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc hosp,1,112
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc hosp,1,111
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc hosp,1,93
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc hosp,1,91
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc hosp,1,125
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc hosp,1,216
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc hosp,1,323
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc hosp,1,442
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc infection,1,326583
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc infection,1,189282
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc infection,1,109062
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc infection,1,69004
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc infection,1,47690
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc infection,1,34022
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc infection,1,25389
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc infection,1,19969
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc infection,1,16734
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc infection,1,14231
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc infection,1,11755
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc infection,1,10401
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc infection,1,10044
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc infection,1,10200
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc infection,1,10508
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc infection,1,10584
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc infection,1,12371
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc infection,1,15131
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc infection,1,19780
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc infection,1,27635
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc infection,1,37406
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc infection,1,55944
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc infection,1,95276
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc infection,1,121514
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc infection,1,100997
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc infection,1,77665
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc infection,1,56592
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc infection,1,40118
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc infection,1,29128
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc infection,1,20928
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc infection,1,15087
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc infection,1,11999
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc infection,1,10700
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc infection,1,10378
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc infection,1,10839
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc infection,1,12228
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc infection,1,16685
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc infection,1,27236
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc infection,1,44060
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc infection,1,66538
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc infection,1,99878
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc case,1,65317
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc case,1,37856
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc case,1,21812
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc case,1,13801
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc case,1,9538
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc case,1,6804
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc case,1,5078
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc case,1,3994
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc case,1,3347
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc case,1,2846
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc case,1,2351
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc case,1,2080
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc case,1,2009
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc case,1,2040
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc case,1,2102
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc case,1,2117
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc case,1,2474
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc case,1,3026
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc case,1,3956
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc case,1,5527
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc case,1,7481
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc case,1,11189
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc case,1,19055
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc case,1,24303
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc case,1,20199
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc case,1,15533
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc case,1,11318
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc case,1,8024
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc case,1,5826
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc case,1,4186
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc case,1,3017
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc case,1,2400
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc case,1,2140
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc case,1,2076
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc case,1,2168
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc case,1,2446
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc case,1,3337
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc case,1,5447
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc case,1,8812
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc case,1,13308
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc case,1,19976
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc hosp,2,1746
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc hosp,2,1855
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc hosp,2,1260
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc hosp,2,557
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc hosp,2,326
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc hosp,2,182
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc hosp,2,98
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc hosp,2,88
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc hosp,2,70
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc hosp,2,77
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc hosp,2,71
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc hosp,2,62
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc hosp,2,78
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc hosp,2,49
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc hosp,2,78
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc hosp,2,93
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc hosp,2,121
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc hosp,2,113
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc hosp,2,112
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc hosp,2,214
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc hosp,2,282
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc hosp,2,358
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc hosp,2,407
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc hosp,2,655
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc hosp,2,941
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc hosp,2,815
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc hosp,2,548
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc hosp,2,419
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc hosp,2,312
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc hosp,2,201
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc hosp,2,183
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc hosp,2,136
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc hosp,2,66
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc hosp,2,73
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc hosp,2,101
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc hosp,2,132
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc hosp,2,158
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc hosp,2,173
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc hosp,2,225
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc hosp,2,328
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc hosp,2,436
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc infection,2,330752
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc infection,2,190545
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc infection,2,109978
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc infection,2,69936
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc infection,2,47495
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc infection,2,33547
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc infection,2,24175
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc infection,2,18859
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc infection,2,14851
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc infection,2,12323
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc infection,2,11111
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc infection,2,10031
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc infection,2,9741
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc infection,2,10767
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc infection,2,10986
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc infection,2,11059
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc infection,2,12371
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc infection,2,15693
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc infection,2,20869
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc infection,2,28957
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc infection,2,39800
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc infection,2,58381
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc infection,2,97162
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc infection,2,119795
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc infection,2,96588
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc infection,2,74498
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc infection,2,53870
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc infection,2,39021
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc infection,2,27515
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc infection,2,20196
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc infection,2,15103
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc infection,2,12021
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc infection,2,10950
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc infection,2,10540
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc infection,2,11020
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc infection,2,12879
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc infection,2,17692
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc infection,2,27861
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc infection,2,45891
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc infection,2,67174
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc infection,2,99941
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc case,2,66150
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc case,2,38109
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc case,2,21996
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc case,2,13987
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc case,2,9499
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc case,2,6709
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc case,2,4835
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc case,2,3772
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc case,2,2970
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc case,2,2465
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc case,2,2222
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc case,2,2006
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc case,2,1948
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc case,2,2153
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc case,2,2197
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc case,2,2212
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc case,2,2474
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc case,2,3139
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc case,2,4174
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc case,2,5791
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc case,2,7960
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc case,2,11676
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc case,2,19432
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc case,2,23959
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc case,2,19318
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc case,2,14900
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc case,2,10774
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc case,2,7804
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc case,2,5503
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc case,2,4039
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc case,2,3021
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc case,2,2404
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc case,2,2190
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc case,2,2108
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc case,2,2204
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc case,2,2576
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc case,2,3538
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc case,2,5572
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc case,2,9178
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc case,2,13435
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc case,2,19988
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc hosp,3,1772
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc hosp,3,1924
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc hosp,3,1113
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc hosp,3,597
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc hosp,3,337
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc hosp,3,217
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc hosp,3,177
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc hosp,3,125
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc hosp,3,81
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc hosp,3,70
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc hosp,3,72
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc hosp,3,62
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc hosp,3,40
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc hosp,3,36
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc hosp,3,38
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc hosp,3,72
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc hosp,3,89
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc hosp,3,90
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc hosp,3,110
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc hosp,3,157
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc hosp,3,152
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc hosp,3,253
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc hosp,3,418
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc hosp,3,805
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc hosp,3,953
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc hosp,3,695
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc hosp,3,544
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc hosp,3,451
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc hosp,3,312
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc hosp,3,260
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc hosp,3,188
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc hosp,3,111
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc hosp,3,94
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc hosp,3,71
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc hosp,3,79
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc hosp,3,87
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc hosp,3,58
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc hosp,3,138
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc hosp,3,223
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc hosp,3,283
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc hosp,3,449
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc infection,3,329003
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc infection,3,189152
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc infection,3,110780
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc infection,3,70609
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc infection,3,48538
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc infection,3,34809
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc infection,3,26371
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc infection,3,20234
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc infection,3,16346
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc infection,3,13937
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc infection,3,11519
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc infection,3,10032
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc infection,3,9543
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc infection,3,9697
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc infection,3,9973
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc infection,3,10456
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc infection,3,11762
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc infection,3,14325
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc infection,3,18408
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc infection,3,25341
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc infection,3,35259
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc infection,3,53097
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc infection,3,92510
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc infection,3,119993
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc infection,3,102993
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc infection,3,79803
ES,C-2022-07-24,2022-07-24,2023-01-28,27 wk,inc infection,3,59803
ES,C-2022-07-24,2022-07-24,2023-02-04,28 wk,inc infection,3,43325
ES,C-2022-07-24,2022-07-24,2023-02-11,29 wk,inc infection,3,31039
ES,C-2022-07-24,2022-07-24,2023-02-18,30 wk,inc infection,3,22398
ES,C-2022-07-24,2022-07-24,2023-02-25,31 wk,inc infection,3,17092
ES,C-2022-07-24,2022-07-24,2023-03-04,32 wk,inc infection,3,13584
ES,C-2022-07-24,2022-07-24,2023-03-11,33 wk,inc infection,3,11711
ES,C-2022-07-24,2022-07-24,2023-03-18,34 wk,inc infection,3,10948
ES,C-2022-07-24,2022-07-24,2023-03-25,35 wk,inc infection,3,11250
ES,C-2022-07-24,2022-07-24,2023-04-01,36 wk,inc infection,3,12480
ES,C-2022-07-24,2022-07-24,2023-04-08,37 wk,inc infection,3,16867
ES,C-2022-07-24,2022-07-24,2023-04-15,38 wk,inc infection,3,27472
ES,C-2022-07-24,2022-07-24,2023-04-22,39 wk,inc infection,3,43622
ES,C-2022-07-24,2022-07-24,2023-04-29,40 wk,inc infection,3,63194
ES,C-2022-07-24,2022-07-24,2023-05-06,41 wk,inc infection,3,93311
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc case,3,65801
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc case,3,37830
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc case,3,22156
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc case,3,14122
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc case,3,9708
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc case,3,6962
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc case,3,5274
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc case,3,4047
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc case,3,3269
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc case,3,2787
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc case,3,2304
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc case,3,2006
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc case,3,1909
