scenario_id,sample,horizon,target_variable,value,location
A,1,19 wk,inc hosp,387,NL
A,1,19 wk,inc icu,126,NL
A,1,19 wk,inc infection,144149,NL
A,1,2 wk,inc case,8581,NL
A,1,2 wk,inc death,26,NL
A,1,2 wk,inc hosp,63,NL
A,1,2 wk,inc icu,26,NL
A,1,2 wk,inc infection,18956,NL
A,1,20 wk,inc case,71768,NL
A,1,20 wk,inc death,100,NL
A,1,20 wk,inc hosp,463,NL
A,1,20 wk,inc icu,151,NL
A,1,20 wk,inc infection,167750,NL
A,1,21 wk,inc case,77128,NL
A,1,21 wk,inc death,120,NL
A,1,21 wk,inc hosp,533,NL
A,1,21 wk,inc icu,179,NL
A,1,21 wk,inc infection,174482,NL
A,1,22 wk,inc case,78757,NL
A,1,22 wk,inc death,139,NL
A,1,22 wk,inc hosp,568,NL
A,1,22 wk,inc icu,199,NL
A,1,22 wk,inc infection,177146,NL
A,1,23 wk,inc case,79042,NL
A,1,23 wk,inc death,154,NL
A,1,23 wk,inc hosp,586,NL
A,1,23 wk,inc icu,211,NL
A,1,23 wk,inc infection,176447,NL
A,1,24 wk,inc case,76766,NL
A,1,24 wk,inc death,165,NL
A,1,24 wk,inc hosp,581,NL
A,1,24 wk,inc icu,215,NL
A,1,24 wk,inc infection,169680,NL
A,1,25 wk,inc case,72400,NL
A,1,25 wk,inc death,169,NL
A,1,25 wk,inc hosp,551,NL
A,1,25 wk,inc icu,210,NL
A,1,25 wk,inc infection,158368,NL
A,1,26 wk,inc case,60959,NL
A,1,26 wk,inc death,167,NL
A,1,26 wk,inc hosp,488,NL
A,1,26 wk,inc icu,196,NL
A,1,26 wk,inc infection,127323,NL
A,1,27 wk,inc case,47570,NL
A,1,27 wk,inc death,157,NL
A,1,27 wk,inc hosp,396,NL
A,1,27 wk,inc icu,170,NL
A,1,27 wk,inc infection,98718,NL
A,1,28 wk,inc case,37099,NL
A,1,28 wk,inc death,140,NL
A,1,28 wk,inc hosp,315,NL
A,1,28 wk,inc icu,139,NL
A,1,28 wk,inc infection,77052,NL
A,1,29 wk,inc case,29017,NL
A,1,29 wk,inc death,122,NL
A,1,29 wk,inc hosp,249,NL
A,1,29 wk,inc icu,111,NL
A,1,29 wk,inc infection,60342,NL
A,1,3 wk,inc case,8165,NL
A,1,3 wk,inc death,23,NL
A,1,3 wk,inc hosp,55,NL
A,1,3 wk,inc icu,23,NL
A,1,3 wk,inc infection,18135,NL
A,1,30 wk,inc case,22768,NL
A,1,30 wk,inc death,104,NL
A,1,30 wk,inc hosp,196,NL
A,1,30 wk,inc icu,88,NL
A,1,30 wk,inc infection,47352,NL
A,1,31 wk,inc case,17741,NL
A,1,31 wk,inc death,87,NL
A,1,31 wk,inc hosp,152,NL
A,1,31 wk,inc icu,69,NL
A,1,31 wk,inc infection,36752,NL
A,1,32 wk,inc case,13610,NL
A,1,32 wk,inc death,71,NL
A,1,32 wk,inc hosp,115,NL
A,1,32 wk,inc icu,53,NL
A,1,32 wk,inc infection,28087,NL
A,1,33 wk,inc case,10445,NL
A,1,33 wk,inc death,57,NL
A,1,33 wk,inc hosp,87,NL
A,1,33 wk,inc icu,41,NL
A,1,33 wk,inc infection,21577,NL
A,1,34 wk,inc case,8038,NL
A,1,34 wk,inc death,46,NL
A,1,34 wk,inc hosp,66,NL
A,1,34 wk,inc icu,31,NL
A,1,34 wk,inc infection,16616,NL
A,1,35 wk,inc case,6194,NL
A,1,35 wk,inc death,36,NL
A,1,35 wk,inc hosp,51,NL
A,1,35 wk,inc icu,24,NL
A,1,35 wk,inc infection,12808,NL
A,1,36 wk,inc case,4772,NL
A,1,36 wk,inc death,29,NL
A,1,36 wk,inc hosp,39,NL
A,1,36 wk,inc icu,18,NL
A,1,36 wk,inc infection,9865,NL
A,1,37 wk,inc case,3668,NL
A,1,37 wk,inc death,23,NL
A,1,37 wk,inc hosp,30,NL
A,1,37 wk,inc icu,14,NL
A,1,37 wk,inc infection,7578,NL
A,1,38 wk,inc case,2810,NL
A,1,38 wk,inc death,18,NL
A,1,38 wk,inc hosp,23,NL
A,1,38 wk,inc icu,11,NL
A,1,38 wk,inc infection,5797,NL
A,1,39 wk,inc case,2141,NL
A,1,39 wk,inc death,14,NL
A,1,39 wk,inc hosp,18,NL
A,1,39 wk,inc icu,8,NL
A,1,39 wk,inc infection,4410,NL
A,1,4 wk,inc case,7970,NL
A,1,4 wk,inc death,21,NL
A,1,4 wk,inc hosp,52,NL
A,1,4 wk,inc icu,20,NL
A,1,4 wk,inc infection,17844,NL
A,1,40 wk,inc case,1621,NL
A,1,40 wk,inc death,11,NL
A,1,40 wk,inc hosp,13,NL
A,1,40 wk,inc icu,6,NL
A,1,40 wk,inc infection,3333,NL
A,1,41 wk,inc case,1219,NL
A,1,41 wk,inc death,8,NL
A,1,41 wk,inc hosp,10,NL
A,1,41 wk,inc icu,5,NL
A,1,41 wk,inc infection,2501,NL
A,1,42 wk,inc case,910,NL
A,1,42 wk,inc death,6,NL
A,1,42 wk,inc hosp,8,NL
A,1,42 wk,inc icu,4,NL
A,1,42 wk,inc infection,1864,NL
A,1,43 wk,inc case,675,NL
A,1,43 wk,inc death,5,NL
A,1,43 wk,inc hosp,6,NL
A,1,43 wk,inc icu,3,NL
A,1,43 wk,inc infection,1380,NL
A,1,44 wk,inc case,498,NL
A,1,44 wk,inc death,4,NL
A,1,44 wk,inc hosp,4,NL
A,1,44 wk,inc icu,2,NL
A,1,44 wk,inc infection,1016,NL
A,1,45 wk,inc case,366,NL
A,1,45 wk,inc death,3,NL
A,1,45 wk,inc hosp,3,NL
A,1,45 wk,inc icu,1,NL
A,1,45 wk,inc infection,745,NL
A,1,46 wk,inc case,268,NL
A,1,46 wk,inc death,2,NL
A,1,46 wk,inc hosp,2,NL
A,1,46 wk,inc icu,1,NL
A,1,46 wk,inc infection,546,NL
A,1,47 wk,inc case,196,NL
A,1,47 wk,inc death,2,NL
A,1,47 wk,inc hosp,2,NL
A,1,47 wk,inc icu,1,NL
A,1,47 wk,inc infection,400,NL
A,1,48 wk,inc case,144,NL
A,1,48 wk,inc death,1,NL
A,1,48 wk,inc hosp,1,NL
A,1,48 wk,inc icu,1,NL
A,1,48 wk,inc infection,294,NL
A,1,49 wk,inc case,106,NL
A,1,49 wk,inc death,1,NL
A,1,49 wk,inc hosp,1,NL
A,1,49 wk,inc icu,0,NL
A,1,49 wk,inc infection,217,NL
A,1,5 wk,inc case,8025,NL
A,1,5 wk,inc death,19,NL
A,1,5 wk,inc hosp,51,NL
A,1,5 wk,inc icu,19,NL
A,1,5 wk,inc infection,18128,NL
A,1,50 wk,inc case,78,NL
A,1,50 wk,inc death,1,NL
A,1,50 wk,inc hosp,1,NL
A,1,50 wk,inc icu,0,NL
A,1,50 wk,inc infection,161,NL
A,1,51 wk,inc case,59,NL
A,1,51 wk,inc death,1,NL
A,1,51 wk,inc hosp,0,NL
A,1,51 wk,inc icu,0,NL
A,1,51 wk,inc infection,121,NL
A,1,52 wk,inc case,44,NL
A,1,52 wk,inc death,0,NL
A,1,52 wk,inc hosp,0,NL
A,1,52 wk,inc icu,0,NL
A,1,52 wk,inc infection,91,NL
A,1,53 wk,inc case,10,NL
A,1,53 wk,inc death,0,NL
A,1,53 wk,inc hosp,0,NL
A,1,53 wk,inc icu,0,NL
A,1,53 wk,inc infection,22,NL
A,1,6 wk,inc case,8353,NL
A,1,6 wk,inc death,18,NL
A,1,6 wk,inc hosp,52,NL
A,1,6 wk,inc icu,19,NL
A,1,6 wk,inc infection,19047,NL
A,1,7 wk,inc case,9004,NL
A,1,7 wk,inc death,18,NL
A,1,7 wk,inc hosp,56,NL
A,1,7 wk,inc icu,20,NL
A,1,7 wk,inc infection,20737,NL
A,1,8 wk,inc case,10065,NL
A,1,8 wk,inc death,18,NL
A,1,8 wk,inc hosp,62,NL
A,1,8 wk,inc icu,21,NL
A,1,8 wk,inc infection,23414,NL
A,1,9 wk,inc case,11430,NL
A,1,9 wk,inc death,19,NL
A,1,9 wk,inc hosp,70,NL
A,1,9 wk,inc icu,24,NL
A,1,9 wk,inc infection,26453,NL
A,2,1 wk,inc case,9617,NL
A,2,1 wk,inc death,31,NL
A,2,1 wk,inc hosp,82,NL
A,2,1 wk,inc icu,32,NL
A,2,1 wk,inc infection,21859,NL
A,2,10 wk,inc case,50844,NL
A,2,10 wk,inc death,98,NL
A,2,10 wk,inc hosp,418,NL
A,2,10 wk,inc icu,118,NL
A,2,10 wk,inc infection,120056,NL
A,2,11 wk,inc case,61150,NL
A,2,11 wk,inc death,116,NL
A,2,11 wk,inc hosp,470,NL
A,2,11 wk,inc icu,141,NL
A,2,11 wk,inc infection,143797,NL
A,2,12 wk,inc case,73238,NL
A,2,12 wk,inc death,132,NL
A,2,12 wk,inc hosp,535,NL
A,2,12 wk,inc icu,163,NL
A,2,12 wk,inc infection,171611,NL
A,2,13 wk,inc case,85437,NL
A,2,13 wk,inc death,151,NL
A,2,13 wk,inc hosp,619,NL
A,2,13 wk,inc icu,189,NL
A,2,13 wk,inc infection,200747,NL
A,2,14 wk,inc case,100412,NL
A,2,14 wk,inc death,175,NL
A,2,14 wk,inc hosp,725,NL
A,2,14 wk,inc icu,221,NL
A,2,14 wk,inc infection,235283,NL
A,2,15 wk,inc case,113856,NL
A,2,15 wk,inc death,203,NL
A,2,15 wk,inc hosp,846,NL
A,2,15 wk,inc icu,259,NL
A,2,15 wk,inc infection,264370,NL
A,2,16 wk,inc case,121899,NL
A,2,16 wk,inc death,236,NL
A,2,16 wk,inc hosp,962,NL
A,2,16 wk,inc icu,300,NL
A,2,16 wk,inc infection,276840,NL
A,2,17 wk,inc case,126098,NL
A,2,17 wk,inc death,270,NL
A,2,17 wk,inc hosp,1047,NL
A,2,17 wk,inc icu,335,NL
A,2,17 wk,inc infection,285388,NL
A,2,18 wk,inc case,129021,NL
A,2,18 wk,inc death,299,NL
A,2,18 wk,inc hosp,1103,NL
A,2,18 wk,inc icu,362,NL
A,2,18 wk,inc infection,291091,NL
A,2,19 wk,inc case,130517,NL
A,2,19 wk,inc death,323,NL
A,2,19 wk,inc hosp,1136,NL
A,2,19 wk,inc icu,380,NL
A,2,19 wk,inc infection,293347,NL
A,2,2 wk,inc case,10329,NL
A,2,2 wk,inc death,30,NL
A,2,2 wk,inc hosp,91,NL
A,2,2 wk,inc icu,30,NL
A,2,2 wk,inc infection,23986,NL
A,2,20 wk,inc case,129668,NL
A,2,20 wk,inc death,340,NL
A,2,20 wk,inc hosp,1146,NL
A,2,20 wk,inc icu,390,NL
A,2,20 wk,inc infection,288264,NL
A,2,21 wk,inc case,119364,NL
A,2,21 wk,inc death,350,NL
A,2,21 wk,inc hosp,1114,NL
A,2,21 wk,inc icu,390,NL
A,2,21 wk,inc infection,258514,NL
A,2,22 wk,inc case,105985,NL
A,2,22 wk,inc death,349,NL
A,2,22 wk,inc hosp,1028,NL
A,2,22 wk,inc icu,373,NL
A,2,22 wk,inc infection,229441,NL
A,2,23 wk,inc case,94033,NL
A,2,23 wk,inc death,338,NL
A,2,23 wk,inc hosp,931,NL
A,2,23 wk,inc icu,344,NL
A,2,23 wk,inc infection,203149,NL
A,2,24 wk,inc case,82246,NL
A,2,24 wk,inc death,319,NL
A,2,24 wk,inc hosp,826,NL
A,2,24 wk,inc icu,311,NL
A,2,24 wk,inc infection,176964,NL
A,2,25 wk,inc case,70735,NL
A,2,25 wk,inc death,294,NL
A,2,25 wk,inc hosp,709,NL
A,2,25 wk,inc icu,273,NL
A,2,25 wk,inc infection,150765,NL
A,2,26 wk,inc case,55442,NL
A,2,26 wk,inc death,262,NL
A,2,26 wk,inc hosp,572,NL
A,2,26 wk,inc icu,231,NL
A,2,26 wk,inc infection,114294,NL
A,2,27 wk,inc case,42238,NL
A,2,27 wk,inc death,226,NL
A,2,27 wk,inc hosp,450,NL
A,2,27 wk,inc icu,187,NL
A,2,27 wk,inc infection,87764,NL
A,2,28 wk,inc case,33253,NL
A,2,28 wk,inc death,192,NL
A,2,28 wk,inc hosp,360,NL
A,2,28 wk,inc icu,148,NL
A,2,28 wk,inc infection,69874,NL
A,2,29 wk,inc case,27034,NL
A,2,29 wk,inc death,161,NL
A,2,29 wk,inc hosp,295,NL
A,2,29 wk,inc icu,119,NL
A,2,29 wk,inc infection,57393,NL
A,2,3 wk,inc case,11535,NL
A,2,3 wk,inc death,31,NL
A,2,3 wk,inc hosp,101,NL
A,2,3 wk,inc icu,31,NL
A,2,3 wk,inc infection,27013,NL
A,2,30 wk,inc case,22604,NL
A,2,30 wk,inc death,136,NL
A,2,30 wk,inc hosp,248,NL
A,2,30 wk,inc icu,98,NL
A,2,30 wk,inc infection,48332,NL
A,2,31 wk,inc case,19019,NL
A,2,31 wk,inc death,115,NL
A,2,31 wk,inc hosp,209,NL
A,2,31 wk,inc icu,82,NL
A,2,31 wk,inc infection,40547,NL
A,2,32 wk,inc case,15599,NL
A,2,32 wk,inc death,96,NL
A,2,32 wk,inc hosp,168,NL
A,2,32 wk,inc icu,67,NL
A,2,32 wk,inc infection,32956,NL
A,2,33 wk,inc case,12833,NL
A,2,33 wk,inc death,79,NL
A,2,33 wk,inc hosp,135,NL
A,2,33 wk,inc icu,55,NL
A,2,33 wk,inc infection,27176,NL
A,2,34 wk,inc case,10661,NL
A,2,34 wk,inc death,65,NL
A,2,34 wk,inc hosp,110,NL
A,2,34 wk,inc icu,44,NL
A,2,34 wk,inc infection,22637,NL
A,2,35 wk,inc case,8934,NL
A,2,35 wk,inc death,54,NL
A,2,35 wk,inc hosp,92,NL
A,2,35 wk,inc icu,36,NL
A,2,35 wk,inc infection,19020,NL
A,2,36 wk,inc case,7538,NL
A,2,36 wk,inc death,44,NL
A,2,36 wk,inc hosp,78,NL
A,2,36 wk,inc icu,30,NL
A,2,36 wk,inc infection,16081,NL
A,2,37 wk,inc case,6388,NL
A,2,37 wk,inc death,37,NL
A,2,37 wk,inc hosp,67,NL
A,2,37 wk,inc icu,26,NL
A,2,37 wk,inc infection,13648,NL
A,2,38 wk,inc case,5425,NL
A,2,38 wk,inc death,31,NL
A,2,38 wk,inc hosp,57,NL
A,2,38 wk,inc icu,22,NL
A,2,38 wk,inc infection,11600,NL
A,2,39 wk,inc case,4607,NL
A,2,39 wk,inc death,26,NL
A,2,39 wk,inc hosp,49,NL
A,2,39 wk,inc icu,19,NL
A,2,39 wk,inc infection,9853,NL
A,2,4 wk,inc case,13268,NL
A,2,4 wk,inc death,33,NL
A,2,4 wk,inc hosp,116,NL
A,2,4 wk,inc icu,34,NL
A,2,4 wk,inc infection,31322,NL
A,2,40 wk,inc case,3906,NL
A,2,40 wk,inc death,22,NL
A,2,40 wk,inc hosp,42,NL
A,2,40 wk,inc icu,16,NL
A,2,40 wk,inc infection,8353,NL
A,2,41 wk,inc case,3303,NL
A,2,41 wk,inc death,19,NL
A,2,41 wk,inc hosp,36,NL
A,2,41 wk,inc icu,14,NL
A,2,41 wk,inc infection,7060,NL
A,2,42 wk,inc case,2784,NL
A,2,42 wk,inc death,16,NL
A,2,42 wk,inc hosp,31,NL
A,2,42 wk,inc icu,12,NL
A,2,42 wk,inc infection,5948,NL
A,2,43 wk,inc case,2339,NL
A,2,43 wk,inc death,14,NL
A,2,43 wk,inc hosp,26,NL
A,2,43 wk,inc icu,10,NL
A,2,43 wk,inc infection,4995,NL
A,2,44 wk,inc case,1960,NL
A,2,44 wk,inc death,12,NL
A,2,44 wk,inc hosp,22,NL
A,2,44 wk,inc icu,8,NL
A,2,44 wk,inc infection,4186,NL
A,2,45 wk,inc case,1641,NL
A,2,45 wk,inc death,10,NL
A,2,45 wk,inc hosp,19,NL
A,2,45 wk,inc icu,7,NL
A,2,45 wk,inc infection,3506,NL
A,2,46 wk,inc case,1375,NL
A,2,46 wk,inc death,8,NL
A,2,46 wk,inc hosp,16,NL
A,2,46 wk,inc icu,6,NL
A,2,46 wk,inc infection,2939,NL
A,2,47 wk,inc case,1155,NL
A,2,47 wk,inc death,7,NL
A,2,47 wk,inc hosp,13,NL
A,2,47 wk,inc icu,5,NL
A,2,47 wk,inc infection,2473,NL
A,2,48 wk,inc case,975,NL
A,2,48 wk,inc death,6,NL
A,2,48 wk,inc hosp,11,NL
A,2,48 wk,inc icu,4,NL
A,2,48 wk,inc infection,2094,NL
A,2,49 wk,inc case,829,NL
A,2,49 wk,inc death,5,NL
A,2,49 wk,inc hosp,10,NL
A,2,49 wk,inc icu,4,NL
A,2,49 wk,inc infection,1782,NL
A,2,5 wk,inc case,15725,NL
A,2,5 wk,inc death,37,NL
A,2,5 wk,inc hosp,136,NL
A,2,5 wk,inc icu,40,NL
A,2,5 wk,inc infection,37430,NL
A,2,50 wk,inc case,701,NL
A,2,50 wk,inc death,4,NL
A,2,50 wk,inc hosp,8,NL
A,2,50 wk,inc icu,3,NL
A,2,50 wk,inc infection,1503,NL
A,2,51 wk,inc case,597,NL
A,2,51 wk,inc death,4,NL
A,2,51 wk,inc hosp,7,NL
A,2,51 wk,inc icu,3,NL
A,2,51 wk,inc infection,1286,NL
A,2,52 wk,inc case,510,NL
A,2,52 wk,inc death,3,NL
A,2,52 wk,inc hosp,6,NL
A,2,52 wk,inc icu,2,NL
A,2,52 wk,inc infection,1098,NL
A,2,53 wk,inc case,132,NL
A,2,53 wk,inc death,1,NL
A,2,53 wk,inc hosp,2,NL
A,2,53 wk,inc icu,1,NL
A,2,53 wk,inc infection,285,NL
A,2,6 wk,inc case,19214,NL
A,2,6 wk,inc death,43,NL
A,2,6 wk,inc hosp,166,NL
A,2,6 wk,inc icu,47,NL
A,2,6 wk,inc infection,46100,NL
A,2,7 wk,inc case,24199,NL
A,2,7 wk,inc death,51,NL
A,2,7 wk,inc hosp,207,NL
A,2,7 wk,inc icu,58,NL
A,2,7 wk,inc infection,58512,NL
A,2,8 wk,inc case,31395,NL
A,2,8 wk,inc death,62,NL
A,2,8 wk,inc hosp,267,NL
A,2,8 wk,inc icu,73,NL
A,2,8 wk,inc infection,76435,NL
A,2,9 wk,inc case,40736,NL
A,2,9 wk,inc death,79,NL
A,2,9 wk,inc hosp,345,NL
A,2,9 wk,inc icu,95,NL
A,2,9 wk,inc infection,97930,NL
A,3,1 wk,inc case,9565,NL
A,3,1 wk,inc death,30,NL
A,3,1 wk,inc hosp,79,NL
A,3,1 wk,inc icu,32,NL
A,3,1 wk,inc infection,21646,NL
A,3,10 wk,inc case,26342,NL
A,3,10 wk,inc death,47,NL
A,3,10 wk,inc hosp,189,NL
A,3,10 wk,inc icu,60,NL
A,3,10 wk,inc infection,61675,NL
A,3,11 wk,inc case,30838,NL
A,3,11 wk,inc death,53,NL
A,3,11 wk,inc hosp,211,NL
A,3,11 wk,inc icu,69,NL
A,3,11 wk,inc infection,72573,NL
A,3,12 wk,inc case,36808,NL
A,3,12 wk,inc death,60,NL
A,3,12 wk,inc hosp,245,NL
A,3,12 wk,inc icu,80,NL
A,3,12 wk,inc infection,86972,NL
A,3,13 wk,inc case,43854,NL
A,3,13 wk,inc death,69,NL
A,3,13 wk,inc hosp,294,NL
A,3,13 wk,inc icu,94,NL
A,3,13 wk,inc infection,104627,NL
A,3,14 wk,inc case,53779,NL
A,3,14 wk,inc death,81,NL
A,3,14 wk,inc hosp,360,NL
A,3,14 wk,inc icu,114,NL
A,3,14 wk,inc infection,128821,NL
A,3,15 wk,inc case,65217,NL
A,3,15 wk,inc death,98,NL
A,3,15 wk,inc hosp,448,NL
A,3,15 wk,inc icu,140,NL
A,3,15 wk,inc infection,155826,NL
A,3,16 wk,inc case,75986,NL
A,3,16 wk,inc death,121,NL
A,3,16 wk,inc hosp,550,NL
A,3,16 wk,inc icu,173,NL
A,3,16 wk,inc infection,178278,NL
A,3,17 wk,inc case,86695,NL
A,3,17 wk,inc death,147,NL
A,3,17 wk,inc hosp,651,NL
A,3,17 wk,inc icu,209,NL
A,3,17 wk,inc infection,203219,NL
A,3,18 wk,inc case,98746,NL
A,3,18 wk,inc death,177,NL
A,3,18 wk,inc hosp,756,NL
A,3,18 wk,inc icu,246,NL
A,3,18 wk,inc infection,231158,NL
A,3,19 wk,inc case,111773,NL
A,3,19 wk,inc death,208,NL
A,3,19 wk,inc hosp,868,NL
A,3,19 wk,inc icu,284,NL
A,3,19 wk,inc infection,260777,NL
A,3,2 wk,inc case,9776,NL
A,3,2 wk,inc death,28,NL
A,3,2 wk,inc hosp,80,NL
A,3,2 wk,inc icu,29,NL
A,3,2 wk,inc infection,22269,NL
A,3,20 wk,inc case,124094,NL
A,3,20 wk,inc death,241,NL
A,3,20 wk,inc hosp,981,NL
A,3,20 wk,inc icu,325,NL
A,3,20 wk,inc infection,285788,NL
A,3,21 wk,inc case,125776,NL
A,3,21 wk,inc death,274,NL
A,3,21 wk,inc hosp,1059,NL
A,3,21 wk,inc icu,362,NL
A,3,21 wk,inc infection,280444,NL
A,3,22 wk,inc case,120388,NL
A,3,22 wk,inc death,301,NL
A,3,22 wk,inc hosp,1060,NL
A,3,22 wk,inc icu,379,NL
A,3,22 wk,inc infection,266595,NL
A,3,23 wk,inc case,113141,NL
A,3,23 wk,inc death,315,NL
A,3,23 wk,inc hosp,1022,NL
A,3,23 wk,inc icu,376,NL
A,3,23 wk,inc infection,248679,NL
A,3,24 wk,inc case,102794,NL
A,3,24 wk,inc death,317,NL
A,3,24 wk,inc hosp,947,NL
A,3,24 wk,inc icu,360,NL
A,3,24 wk,inc infection,223538,NL
A,3,25 wk,inc case,90305,NL
A,3,25 wk,inc death,307,NL
A,3,25 wk,inc hosp,834,NL
A,3,25 wk,inc icu,329,NL
A,3,25 wk,inc infection,193989,NL
A,3,26 wk,inc case,71469,NL
A,3,26 wk,inc death,284,NL
A,3,26 wk,inc hosp,684,NL
A,3,26 wk,inc icu,286,NL
A,3,26 wk,inc infection,147433,NL
A,3,27 wk,inc case,53402,NL
A,3,27 wk,inc death,252,NL
A,3,27 wk,inc hosp,527,NL
A,3,27 wk,inc icu,232,NL
A,3,27 wk,inc infection,110023,NL
A,3,28 wk,inc case,40496,NL
A,3,28 wk,inc death,215,NL
A,3,28 wk,inc hosp,405,NL
A,3,28 wk,inc icu,181,NL
A,3,28 wk,inc infection,83910,NL
A,3,29 wk,inc case,31256,NL
A,3,29 wk,inc death,180,NL
A,3,29 wk,inc hosp,314,NL
A,3,29 wk,inc icu,140,NL
A,3,29 wk,inc infection,65145,NL
A,3,3 wk,inc case,10130,NL
A,3,3 wk,inc death,27,NL
A,3,3 wk,inc hosp,79,NL
A,3,3 wk,inc icu,28,NL
A,3,3 wk,inc infection,23169,NL
A,3,30 wk,inc case,24533,NL
A,3,30 wk,inc death,149,NL
A,3,30 wk,inc hosp,246,NL
A,3,30 wk,inc icu,109,NL
A,3,30 wk,inc infection,51341,NL
A,3,31 wk,inc case,19284,NL
A,3,31 wk,inc death,122,NL
A,3,31 wk,inc hosp,193,NL
A,3,31 wk,inc icu,85,NL
A,3,31 wk,inc infection,40253,NL
A,3,32 wk,inc case,14916,NL
A,3,32 wk,inc death,99,NL
A,3,32 wk,inc hosp,147,NL
A,3,32 wk,inc icu,66,NL
A,3,32 wk,inc infection,30982,NL
A,3,33 wk,inc case,11601,NL
A,3,33 wk,inc death,79,NL
A,3,33 wk,inc hosp,112,NL
A,3,33 wk,inc icu,51,NL
A,3,33 wk,inc infection,24170,NL
A,3,34 wk,inc case,9114,NL
A,3,34 wk,inc death,63,NL
A,3,34 wk,inc hosp,87,NL
A,3,34 wk,inc icu,39,NL
A,3,34 wk,inc infection,19045,NL
A,3,35 wk,inc case,7222,NL
A,3,35 wk,inc death,50,NL
A,3,35 wk,inc hosp,69,NL
A,3,35 wk,inc icu,31,NL
A,3,35 wk,inc infection,15132,NL
A,3,36 wk,inc case,5761,NL
A,3,36 wk,inc death,39,NL
A,3,36 wk,inc hosp,55,NL
A,3,36 wk,inc icu,24,NL
A,3,36 wk,inc infection,12093,NL
A,3,37 wk,inc case,4614,NL
A,3,37 wk,inc death,31,NL
A,3,37 wk,inc hosp,44,NL
A,3,37 wk,inc icu,19,NL
A,3,37 wk,inc infection,9695,NL
A,3,38 wk,inc case,3700,NL
A,3,38 wk,inc death,25,NL
A,3,38 wk,inc hosp,35,NL
A,3,38 wk,inc icu,15,NL
A,3,38 wk,inc infection,7778,NL
A,3,39 wk,inc case,2965,NL
A,3,39 wk,inc death,20,NL
A,3,39 wk,inc hosp,28,NL
A,3,39 wk,inc icu,12,NL
A,3,39 wk,inc infection,6230,NL
A,3,4 wk,inc case,10728,NL
A,3,4 wk,inc death,27,NL
A,3,4 wk,inc hosp,82,NL
A,3,4 wk,inc icu,29,NL
A,3,4 wk,inc infection,24702,NL
A,3,40 wk,inc case,2369,NL
A,3,40 wk,inc death,16,NL
A,3,40 wk,inc hosp,23,NL
A,3,40 wk,inc icu,10,NL
A,3,40 wk,inc infection,4976,NL
A,3,41 wk,inc case,1886,NL
A,3,41 wk,inc death,13,NL
A,3,41 wk,inc hosp,18,NL
A,3,41 wk,inc icu,8,NL
A,3,41 wk,inc infection,3957,NL
A,3,42 wk,inc case,1495,NL
A,3,42 wk,inc death,10,NL
A,3,42 wk,inc hosp,15,NL
A,3,42 wk,inc icu,6,NL
A,3,42 wk,inc infection,3133,NL
A,3,43 wk,inc case,1180,NL
A,3,43 wk,inc death,8,NL
A,3,43 wk,inc hosp,12,NL
A,3,43 wk,inc icu,5,NL
A,3,43 wk,inc infection,2469,NL
A,3,44 wk,inc case,927,NL
A,3,44 wk,inc death,7,NL
A,3,44 wk,inc hosp,9,NL
A,3,44 wk,inc icu,4,NL
A,3,44 wk,inc infection,1939,NL
A,3,45 wk,inc case,727,NL
A,3,45 wk,inc death,5,NL
A,3,45 wk,inc hosp,7,NL
