location,target_end_date,target_variable,value,scenario_id,origin_date,horizon,type,sample
GB,2022-06-04,inc case,188840,B-2022-02-25,2022-05-28,1 wk,sample,1
GR,2022-06-04,inc case,108974,A-2022-02-25,2022-05-28,1 wk,sample,1
GR,2022-06-04,inc case,118393,B-2022-02-25,2022-05-28,1 wk,sample,1
HR,2022-06-04,inc case,8473,A-2022-02-25,2022-05-28,1 wk,sample,1
HR,2022-06-04,inc case,7813,B-2022-02-25,2022-05-28,1 wk,sample,1
HU,2022-06-04,inc case,14123,A-2022-02-25,2022-05-28,1 wk,sample,1
HU,2022-06-04,inc case,8583,B-2022-02-25,2022-05-28,1 wk,sample,1
IE,2022-06-04,inc case,49428,A-2022-02-25,2022-05-28,1 wk,sample,1
IE,2022-06-04,inc case,30353,B-2022-02-25,2022-05-28,1 wk,sample,1
IS,2022-06-04,inc case,3194,A-2022-02-25,2022-05-28,1 wk,sample,1
IS,2022-06-04,inc case,4028,B-2022-02-25,2022-05-28,1 wk,sample,1
IT,2022-06-04,inc case,574120,A-2022-02-25,2022-05-28,1 wk,sample,1
IT,2022-06-04,inc case,939335,B-2022-02-25,2022-05-28,1 wk,sample,1
LI,2022-06-04,inc case,145,A-2022-02-25,2022-05-28,1 wk,sample,1
LI,2022-06-04,inc case,199,B-2022-02-25,2022-05-28,1 wk,sample,1
LT,2022-06-04,inc case,2811,A-2022-02-25,2022-05-28,1 wk,sample,1
LT,2022-06-04,inc case,3650,B-2022-02-25,2022-05-28,1 wk,sample,1
LU,2022-06-04,inc case,0,A-2022-02-25,2022-05-28,1 wk,sample,1
LU,2022-06-04,inc case,0,B-2022-02-25,2022-05-28,1 wk,sample,1
LV,2022-06-04,inc case,6267,A-2022-02-25,2022-05-28,1 wk,sample,1
LV,2022-06-04,inc case,9194,B-2022-02-25,2022-05-28,1 wk,sample,1
MT,2022-06-04,inc case,2555,A-2022-02-25,2022-05-28,1 wk,sample,1
MT,2022-06-04,inc case,2465,B-2022-02-25,2022-05-28,1 wk,sample,1
NL,2022-06-04,inc case,27896,A-2022-02-25,2022-05-28,1 wk,sample,1
NL,2022-06-04,inc case,38688,B-2022-02-25,2022-05-28,1 wk,sample,1
NO,2022-06-04,inc case,6907,A-2022-02-25,2022-05-28,1 wk,sample,1
NO,2022-06-04,inc case,9857,B-2022-02-25,2022-05-28,1 wk,sample,1
PL,2022-06-04,inc case,5330,A-2022-02-25,2022-05-28,1 wk,sample,1
PL,2022-06-04,inc case,9966,B-2022-02-25,2022-05-28,1 wk,sample,1
PT,2022-06-04,inc case,1081691,A-2022-02-25,2022-05-28,1 wk,sample,1
PT,2022-06-04,inc case,901529,B-2022-02-25,2022-05-28,1 wk,sample,1
RO,2022-06-04,inc case,8191,A-2022-02-25,2022-05-28,1 wk,sample,1
RO,2022-06-04,inc case,14648,B-2022-02-25,2022-05-28,1 wk,sample,1
SE,2022-06-04,inc case,5679,A-2022-02-25,2022-05-28,1 wk,sample,1
SE,2022-06-04,inc case,6749,B-2022-02-25,2022-05-28,1 wk,sample,1
SI,2022-06-04,inc case,9939,A-2022-02-25,2022-05-28,1 wk,sample,1
SI,2022-06-04,inc case,15101,B-2022-02-25,2022-05-28,1 wk,sample,1
SK,2022-06-04,inc case,6087,A-2022-02-25,2022-05-28,1 wk,sample,1
SK,2022-06-04,inc case,10033,B-2022-02-25,2022-05-28,1 wk,sample,1
AT,2022-06-04,inc death,59,A-2022-02-25,2022-05-28,1 wk,sample,1
AT,2022-06-04,inc death,207,B-2022-02-25,2022-05-28,1 wk,sample,1
BE,2022-06-04,inc death,211,A-2022-02-25,2022-05-28,1 wk,sample,1
BE,2022-06-04,inc death,206,B-2022-02-25,2022-05-28,1 wk,sample,1
BG,2022-06-04,inc death,242,A-2022-02-25,2022-05-28,1 wk,sample,1
BG,2022-06-04,inc death,224,B-2022-02-25,2022-05-28,1 wk,sample,1
CH,2022-06-04,inc death,12,A-2022-02-25,2022-05-28,1 wk,sample,1
CH,2022-06-04,inc death,14,B-2022-02-25,2022-05-28,1 wk,sample,1
CY,2022-06-04,inc death,9,A-2022-02-25,2022-05-28,1 wk,sample,1
CY,2022-06-04,inc death,9,B-2022-02-25,2022-05-28,1 wk,sample,1
CZ,2022-06-04,inc death,86,A-2022-02-25,2022-05-28,1 wk,sample,1
CZ,2022-06-04,inc death,65,B-2022-02-25,2022-05-28,1 wk,sample,1
DE,2022-06-04,inc death,2630,A-2022-02-25,2022-05-28,1 wk,sample,1
DE,2022-06-04,inc death,2673,B-2022-02-25,2022-05-28,1 wk,sample,1
DK,2022-06-04,inc death,176,A-2022-02-25,2022-05-28,1 wk,sample,1
DK,2022-06-04,inc death,240,B-2022-02-25,2022-05-28,1 wk,sample,1
EE,2022-06-04,inc death,0,A-2022-02-25,2022-05-28,1 wk,sample,1
EE,2022-06-04,inc death,0,B-2022-02-25,2022-05-28,1 wk,sample,1
ES,2022-06-04,inc death,1686,A-2022-02-25,2022-05-28,1 wk,sample,1
ES,2022-06-04,inc death,1748,B-2022-02-25,2022-05-28,1 wk,sample,1
FI,2022-06-04,inc death,545,A-2022-02-25,2022-05-28,1 wk,sample,1
FI,2022-06-04,inc death,649,B-2022-02-25,2022-05-28,1 wk,sample,1
FR,2022-06-04,inc death,1687,A-2022-02-25,2022-05-28,1 wk,sample,1
FR,2022-06-04,inc death,2197,B-2022-02-25,2022-05-28,1 wk,sample,1
GB,2022-06-04,inc death,1337,A-2022-02-25,2022-05-28,1 wk,sample,1
GB,2022-06-04,inc death,2597,B-2022-02-25,2022-05-28,1 wk,sample,1
GR,2022-06-04,inc death,403,A-2022-02-25,2022-05-28,1 wk,sample,1
GR,2022-06-04,inc death,694,B-2022-02-25,2022-05-28,1 wk,sample,1
HR,2022-06-04,inc death,72,A-2022-02-25,2022-05-28,1 wk,sample,1
HR,2022-06-04,inc death,95,B-2022-02-25,2022-05-28,1 wk,sample,1
HU,2022-06-04,inc death,252,A-2022-02-25,2022-05-28,1 wk,sample,1
HU,2022-06-04,inc death,346,B-2022-02-25,2022-05-28,1 wk,sample,1
IE,2022-06-04,inc death,349,A-2022-02-25,2022-05-28,1 wk,sample,1
IE,2022-06-04,inc death,176,B-2022-02-25,2022-05-28,1 wk,sample,1
IS,2022-06-04,inc death,0,A-2022-02-25,2022-05-28,1 wk,sample,1
IS,2022-06-04,inc death,0,B-2022-02-25,2022-05-28,1 wk,sample,1
IT,2022-06-04,inc death,3961,A-2022-02-25,2022-05-28,1 wk,sample,1
IT,2022-06-04,inc death,4112,B-2022-02-25,2022-05-28,1 wk,sample,1
LI,2022-06-04,inc death,0,A-2022-02-25,2022-05-28,1 wk,sample,1
LI,2022-06-04,inc death,0,B-2022-02-25,2022-05-28,1 wk,sample,1
LT,2022-06-04,inc death,36,A-2022-02-25,2022-05-28,1 wk,sample,1
LT,2022-06-04,inc death,40,B-2022-02-25,2022-05-28,1 wk,sample,1
LU,2022-06-04,inc death,0,A-2022-02-25,2022-05-28,1 wk,sample,1
LU,2022-06-04,inc death,0,B-2022-02-25,2022-05-28,1 wk,sample,1
LV,2022-06-04,inc death,45,A-2022-02-25,2022-05-28,1 wk,sample,1
LV,2022-06-04,inc death,48,B-2022-02-25,2022-05-28,1 wk,sample,1
MT,2022-06-04,inc death,10,A-2022-02-25,2022-05-28,1 wk,sample,1
MT,2022-06-04,inc death,11,B-2022-02-25,2022-05-28,1 wk,sample,1
NL,2022-06-04,inc death,33,A-2022-02-25,2022-05-28,1 wk,sample,1
NL,2022-06-04,inc death,40,B-2022-02-25,2022-05-28,1 wk,sample,1
NO,2022-06-04,inc death,124,A-2022-02-25,2022-05-28,1 wk,sample,1
NO,2022-06-04,inc death,255,B-2022-02-25,2022-05-28,1 wk,sample,1
PL,2022-06-04,inc death,233,A-2022-02-25,2022-05-28,1 wk,sample,1
PL,2022-06-04,inc death,309,B-2022-02-25,2022-05-28,1 wk,sample,1
PT,2022-06-04,inc death,893,A-2022-02-25,2022-05-28,1 wk,sample,1
PT,2022-06-04,inc death,1425,B-2022-02-25,2022-05-28,1 wk,sample,1
RO,2022-06-04,inc death,109,A-2022-02-25,2022-05-28,1 wk,sample,1
RO,2022-06-04,inc death,126,B-2022-02-25,2022-05-28,1 wk,sample,1
SE,2022-06-04,inc death,157,A-2022-02-25,2022-05-28,1 wk,sample,1
SE,2022-06-04,inc death,193,B-2022-02-25,2022-05-28,1 wk,sample,1
SI,2022-06-04,inc death,49,A-2022-02-25,2022-05-28,1 wk,sample,1
SI,2022-06-04,inc death,41,B-2022-02-25,2022-05-28,1 wk,sample,1
SK,2022-06-04,inc death,116,A-2022-02-25,2022-05-28,1 wk,sample,1
SK,2022-06-04,inc death,127,B-2022-02-25,2022-05-28,1 wk,sample,1
AT,2022-06-11,inc case,66466,A-2022-02-25,2022-05-28,2 wk,sample,1
AT,2022-06-11,inc case,85794,B-2022-02-25,2022-05-28,2 wk,sample,1
BE,2022-06-11,inc case,74779,A-2022-02-25,2022-05-28,2 wk,sample,1
BE,2022-06-11,inc case,90795,B-2022-02-25,2022-05-28,2 wk,sample,1
BG,2022-06-11,inc case,9222,A-2022-02-25,2022-05-28,2 wk,sample,1
BG,2022-06-11,inc case,3703,B-2022-02-25,2022-05-28,2 wk,sample,1
CH,2022-06-11,inc case,47664,A-2022-02-25,2022-05-28,2 wk,sample,1
CH,2022-06-11,inc case,41202,B-2022-02-25,2022-05-28,2 wk,sample,1
CY,2022-06-11,inc case,8410,A-2022-02-25,2022-05-28,2 wk,sample,1
CY,2022-06-11,inc case,8112,B-2022-02-25,2022-05-28,2 wk,sample,1
CZ,2022-06-11,inc case,8171,A-2022-02-25,2022-05-28,2 wk,sample,1
CZ,2022-06-11,inc case,8200,B-2022-02-25,2022-05-28,2 wk,sample,1
DE,2022-06-11,inc case,728839,A-2022-02-25,2022-05-28,2 wk,sample,1
DE,2022-06-11,inc case,907595,B-2022-02-25,2022-05-28,2 wk,sample,1
DK,2022-06-11,inc case,19162,A-2022-02-25,2022-05-28,2 wk,sample,1
DK,2022-06-11,inc case,13726,B-2022-02-25,2022-05-28,2 wk,sample,1
EE,2022-06-11,inc case,5283,A-2022-02-25,2022-05-28,2 wk,sample,1
EE,2022-06-11,inc case,3033,B-2022-02-25,2022-05-28,2 wk,sample,1
ES,2022-06-11,inc case,597878,A-2022-02-25,2022-05-28,2 wk,sample,1
ES,2022-06-11,inc case,412014,B-2022-02-25,2022-05-28,2 wk,sample,1
FI,2022-06-11,inc case,60143,A-2022-02-25,2022-05-28,2 wk,sample,1
FI,2022-06-11,inc case,68476,B-2022-02-25,2022-05-28,2 wk,sample,1
FR,2022-06-11,inc case,464270,A-2022-02-25,2022-05-28,2 wk,sample,1
FR,2022-06-11,inc case,321007,B-2022-02-25,2022-05-28,2 wk,sample,1
GB,2022-06-11,inc case,293877,A-2022-02-25,2022-05-28,2 wk,sample,1
GB,2022-06-11,inc case,148993,B-2022-02-25,2022-05-28,2 wk,sample,1
GR,2022-06-11,inc case,170856,A-2022-02-25,2022-05-28,2 wk,sample,1
GR,2022-06-11,inc case,122675,B-2022-02-25,2022-05-28,2 wk,sample,1
HR,2022-06-11,inc case,12237,A-2022-02-25,2022-05-28,2 wk,sample,1
HR,2022-06-11,inc case,11675,B-2022-02-25,2022-05-28,2 wk,sample,1
HU,2022-06-11,inc case,11910,A-2022-02-25,2022-05-28,2 wk,sample,1
HU,2022-06-11,inc case,9841,B-2022-02-25,2022-05-28,2 wk,sample,1
IE,2022-06-11,inc case,30848,A-2022-02-25,2022-05-28,2 wk,sample,1
IE,2022-06-11,inc case,48402,B-2022-02-25,2022-05-28,2 wk,sample,1
IS,2022-06-11,inc case,2757,A-2022-02-25,2022-05-28,2 wk,sample,1
IS,2022-06-11,inc case,3419,B-2022-02-25,2022-05-28,2 wk,sample,1
IT,2022-06-11,inc case,736908,A-2022-02-25,2022-05-28,2 wk,sample,1
IT,2022-06-11,inc case,715423,B-2022-02-25,2022-05-28,2 wk,sample,1
LI,2022-06-11,inc case,204,A-2022-02-25,2022-05-28,2 wk,sample,1
LI,2022-06-11,inc case,147,B-2022-02-25,2022-05-28,2 wk,sample,1
LT,2022-06-11,inc case,3609,A-2022-02-25,2022-05-28,2 wk,sample,1
LT,2022-06-11,inc case,3878,B-2022-02-25,2022-05-28,2 wk,sample,1
LU,2022-06-11,inc case,0,A-2022-02-25,2022-05-28,2 wk,sample,1
LU,2022-06-11,inc case,0,B-2022-02-25,2022-05-28,2 wk,sample,1
LV,2022-06-11,inc case,4334,A-2022-02-25,2022-05-28,2 wk,sample,1
LV,2022-06-11,inc case,7044,B-2022-02-25,2022-05-28,2 wk,sample,1
MT,2022-06-11,inc case,3039,A-2022-02-25,2022-05-28,2 wk,sample,1
MT,2022-06-11,inc case,2221,B-2022-02-25,2022-05-28,2 wk,sample,1
NL,2022-06-11,inc case,29196,A-2022-02-25,2022-05-28,2 wk,sample,1
NL,2022-06-11,inc case,30249,B-2022-02-25,2022-05-28,2 wk,sample,1
NO,2022-06-11,inc case,10129,A-2022-02-25,2022-05-28,2 wk,sample,1
NO,2022-06-11,inc case,5542,B-2022-02-25,2022-05-28,2 wk,sample,1
PL,2022-06-11,inc case,8435,A-2022-02-25,2022-05-28,2 wk,sample,1
PL,2022-06-11,inc case,7922,B-2022-02-25,2022-05-28,2 wk,sample,1
PT,2022-06-11,inc case,721283,A-2022-02-25,2022-05-28,2 wk,sample,1
PT,2022-06-11,inc case,965547,B-2022-02-25,2022-05-28,2 wk,sample,1
RO,2022-06-11,inc case,13904,A-2022-02-25,2022-05-28,2 wk,sample,1
RO,2022-06-11,inc case,10368,B-2022-02-25,2022-05-28,2 wk,sample,1
SE,2022-06-11,inc case,6753,A-2022-02-25,2022-05-28,2 wk,sample,1
SE,2022-06-11,inc case,8200,B-2022-02-25,2022-05-28,2 wk,sample,1
SI,2022-06-11,inc case,13198,A-2022-02-25,2022-05-28,2 wk,sample,1
SI,2022-06-11,inc case,7234,B-2022-02-25,2022-05-28,2 wk,sample,1
SK,2022-06-11,inc case,7206,A-2022-02-25,2022-05-28,2 wk,sample,1
SK,2022-06-11,inc case,6184,B-2022-02-25,2022-05-28,2 wk,sample,1
AT,2022-06-11,inc death,215,A-2022-02-25,2022-05-28,2 wk,sample,1
AT,2022-06-11,inc death,278,B-2022-02-25,2022-05-28,2 wk,sample,1
BE,2022-06-11,inc death,321,A-2022-02-25,2022-05-28,2 wk,sample,1
BE,2022-06-11,inc death,236,B-2022-02-25,2022-05-28,2 wk,sample,1
BG,2022-06-11,inc death,163,A-2022-02-25,2022-05-28,2 wk,sample,1
BG,2022-06-11,inc death,209,B-2022-02-25,2022-05-28,2 wk,sample,1
CH,2022-06-11,inc death,14,A-2022-02-25,2022-05-28,2 wk,sample,1
CH,2022-06-11,inc death,13,B-2022-02-25,2022-05-28,2 wk,sample,1
CY,2022-06-11,inc death,13,A-2022-02-25,2022-05-28,2 wk,sample,1
CY,2022-06-11,inc death,12,B-2022-02-25,2022-05-28,2 wk,sample,1
CZ,2022-06-11,inc death,83,A-2022-02-25,2022-05-28,2 wk,sample,1
CZ,2022-06-11,inc death,74,B-2022-02-25,2022-05-28,2 wk,sample,1
DE,2022-06-11,inc death,3636,A-2022-02-25,2022-05-28,2 wk,sample,1
DE,2022-06-11,inc death,2256,B-2022-02-25,2022-05-28,2 wk,sample,1
DK,2022-06-11,inc death,172,A-2022-02-25,2022-05-28,2 wk,sample,1
DK,2022-06-11,inc death,120,B-2022-02-25,2022-05-28,2 wk,sample,1
EE,2022-06-11,inc death,0,A-2022-02-25,2022-05-28,2 wk,sample,1
EE,2022-06-11,inc death,0,B-2022-02-25,2022-05-28,2 wk,sample,1
ES,2022-06-11,inc death,1627,A-2022-02-25,2022-05-28,2 wk,sample,1
ES,2022-06-11,inc death,1335,B-2022-02-25,2022-05-28,2 wk,sample,1
FI,2022-06-11,inc death,526,A-2022-02-25,2022-05-28,2 wk,sample,1
FI,2022-06-11,inc death,328,B-2022-02-25,2022-05-28,2 wk,sample,1
FR,2022-06-11,inc death,1555,A-2022-02-25,2022-05-28,2 wk,sample,1
FR,2022-06-11,inc death,2007,B-2022-02-25,2022-05-28,2 wk,sample,1
GB,2022-06-11,inc death,2338,A-2022-02-25,2022-05-28,2 wk,sample,1
GB,2022-06-11,inc death,2250,B-2022-02-25,2022-05-28,2 wk,sample,1
GR,2022-06-11,inc death,356,A-2022-02-25,2022-05-28,2 wk,sample,1
GR,2022-06-11,inc death,443,B-2022-02-25,2022-05-28,2 wk,sample,1
HR,2022-06-11,inc death,111,A-2022-02-25,2022-05-28,2 wk,sample,1
HR,2022-06-11,inc death,86,B-2022-02-25,2022-05-28,2 wk,sample,1
HU,2022-06-11,inc death,351,A-2022-02-25,2022-05-28,2 wk,sample,1
HU,2022-06-11,inc death,400,B-2022-02-25,2022-05-28,2 wk,sample,1
IE,2022-06-11,inc death,250,A-2022-02-25,2022-05-28,2 wk,sample,1
IE,2022-06-11,inc death,288,B-2022-02-25,2022-05-28,2 wk,sample,1
IS,2022-06-11,inc death,0,A-2022-02-25,2022-05-28,2 wk,sample,1
IS,2022-06-11,inc death,0,B-2022-02-25,2022-05-28,2 wk,sample,1
IT,2022-06-11,inc death,2594,A-2022-02-25,2022-05-28,2 wk,sample,1
IT,2022-06-11,inc death,2023,B-2022-02-25,2022-05-28,2 wk,sample,1
LI,2022-06-11,inc death,0,A-2022-02-25,2022-05-28,2 wk,sample,1
LI,2022-06-11,inc death,0,B-2022-02-25,2022-05-28,2 wk,sample,1
LT,2022-06-11,inc death,47,A-2022-02-25,2022-05-28,2 wk,sample,1
LT,2022-06-11,inc death,26,B-2022-02-25,2022-05-28,2 wk,sample,1
LU,2022-06-11,inc death,0,A-2022-02-25,2022-05-28,2 wk,sample,1
LU,2022-06-11,inc death,0,B-2022-02-25,2022-05-28,2 wk,sample,1
LV,2022-06-11,inc death,53,A-2022-02-25,2022-05-28,2 wk,sample,1
LV,2022-06-11,inc death,41,B-2022-02-25,2022-05-28,2 wk,sample,1
MT,2022-06-11,inc death,8,A-2022-02-25,2022-05-28,2 wk,sample,1
MT,2022-06-11,inc death,9,B-2022-02-25,2022-05-28,2 wk,sample,1
NL,2022-06-11,inc death,36,A-2022-02-25,2022-05-28,2 wk,sample,1
NL,2022-06-11,inc death,25,B-2022-02-25,2022-05-28,2 wk,sample,1
NO,2022-06-11,inc death,184,A-2022-02-25,2022-05-28,2 wk,sample,1
NO,2022-06-11,inc death,237,B-2022-02-25,2022-05-28,2 wk,sample,1
PL,2022-06-11,inc death,293,A-2022-02-25,2022-05-28,2 wk,sample,1
PL,2022-06-11,inc death,210,B-2022-02-25,2022-05-28,2 wk,sample,1
PT,2022-06-11,inc death,1153,A-2022-02-25,2022-05-28,2 wk,sample,1
PT,2022-06-11,inc death,936,B-2022-02-25,2022-05-28,2 wk,sample,1
RO,2022-06-11,inc death,101,A-2022-02-25,2022-05-28,2 wk,sample,1
RO,2022-06-11,inc death,113,B-2022-02-25,2022-05-28,2 wk,sample,1
SE,2022-06-11,inc death,187,A-2022-02-25,2022-05-28,2 wk,sample,1
SE,2022-06-11,inc death,170,B-2022-02-25,2022-05-28,2 wk,sample,1
SI,2022-06-11,inc death,26,A-2022-02-25,2022-05-28,2 wk,sample,1
SI,2022-06-11,inc death,29,B-2022-02-25,2022-05-28,2 wk,sample,1
SK,2022-06-11,inc death,161,A-2022-02-25,2022-05-28,2 wk,sample,1
SK,2022-06-11,inc death,99,B-2022-02-25,2022-05-28,2 wk,sample,1
AT,2022-06-04,inc case,46704,A-2022-02-25,2022-05-28,1 wk,sample,2
AT,2022-06-04,inc case,81332,B-2022-02-25,2022-05-28,1 wk,sample,2
BE,2022-06-04,inc case,75915,A-2022-02-25,2022-05-28,1 wk,sample,2
BE,2022-06-04,inc case,97033,B-2022-02-25,2022-05-28,1 wk,sample,2
BG,2022-06-04,inc case,6949,A-2022-02-25,2022-05-28,1 wk,sample,2
BG,2022-06-04,inc case,6298,B-2022-02-25,2022-05-28,1 wk,sample,2
CH,2022-06-04,inc case,33595,A-2022-02-25,2022-05-28,1 wk,sample,2
CH,2022-06-04,inc case,50407,B-2022-02-25,2022-05-28,1 wk,sample,2
CY,2022-06-04,inc case,5612,A-2022-02-25,2022-05-28,1 wk,sample,2
CY,2022-06-04,inc case,6861,B-2022-02-25,2022-05-28,1 wk,sample,2
CZ,2022-06-04,inc case,5893,A-2022-02-25,2022-05-28,1 wk,sample,2
CZ,2022-06-04,inc case,9231,B-2022-02-25,2022-05-28,1 wk,sample,2
DE,2022-06-04,inc case,711027,A-2022-02-25,2022-05-28,1 wk,sample,2
DE,2022-06-04,inc case,1087870,B-2022-02-25,2022-05-28,1 wk,sample,2
DK,2022-06-04,inc case,20426,A-2022-02-25,2022-05-28,1 wk,sample,2
DK,2022-06-04,inc case,23584,B-2022-02-25,2022-05-28,1 wk,sample,2
EE,2022-06-04,inc case,3068,A-2022-02-25,2022-05-28,1 wk,sample,2
EE,2022-06-04,inc case,3582,B-2022-02-25,2022-05-28,1 wk,sample,2
ES,2022-06-04,inc case,399906,A-2022-02-25,2022-05-28,1 wk,sample,2
ES,2022-06-04,inc case,551026,B-2022-02-25,2022-05-28,1 wk,sample,2
FI,2022-06-04,inc case,33122,A-2022-02-25,2022-05-28,1 wk,sample,2
FI,2022-06-04,inc case,71049,B-2022-02-25,2022-05-28,1 wk,sample,2
FR,2022-06-04,inc case,358621,A-2022-02-25,2022-05-28,1 wk,sample,2
FR,2022-06-04,inc case,551002,B-2022-02-25,2022-05-28,1 wk,sample,2
GB,2022-06-04,inc case,110456,A-2022-02-25,2022-05-28,1 wk,sample,2
GB,2022-06-04,inc case,184097,B-2022-02-25,2022-05-28,1 wk,sample,2
GR,2022-06-04,inc case,97593,A-2022-02-25,2022-05-28,1 wk,sample,2
GR,2022-06-04,inc case,121004,B-2022-02-25,2022-05-28,1 wk,sample,2
HR,2022-06-04,inc case,10494,A-2022-02-25,2022-05-28,1 wk,sample,2
HR,2022-06-04,inc case,10408,B-2022-02-25,2022-05-28,1 wk,sample,2
HU,2022-06-04,inc case,14227,A-2022-02-25,2022-05-28,1 wk,sample,2
HU,2022-06-04,inc case,15077,B-2022-02-25,2022-05-28,1 wk,sample,2
IE,2022-06-04,inc case,43987,A-2022-02-25,2022-05-28,1 wk,sample,2
IE,2022-06-04,inc case,51729,B-2022-02-25,2022-05-28,1 wk,sample,2
IS,2022-06-04,inc case,2601,A-2022-02-25,2022-05-28,1 wk,sample,2
IS,2022-06-04,inc case,3647,B-2022-02-25,2022-05-28,1 wk,sample,2
IT,2022-06-04,inc case,843155,A-2022-02-25,2022-05-28,1 wk,sample,2
IT,2022-06-04,inc case,575276,B-2022-02-25,2022-05-28,1 wk,sample,2
LI,2022-06-04,inc case,125,A-2022-02-25,2022-05-28,1 wk,sample,2
LI,2022-06-04,inc case,162,B-2022-02-25,2022-05-28,1 wk,sample,2
LT,2022-06-04,inc case,3432,A-2022-02-25,2022-05-28,1 wk,sample,2
LT,2022-06-04,inc case,3619,B-2022-02-25,2022-05-28,1 wk,sample,2
LU,2022-06-04,inc case,0,A-2022-02-25,2022-05-28,1 wk,sample,2
LU,2022-06-04,inc case,0,B-2022-02-25,2022-05-28,1 wk,sample,2
LV,2022-06-04,inc case,5274,A-2022-02-25,2022-05-28,1 wk,sample,2
LV,2022-06-04,inc case,9239,B-2022-02-25,2022-05-28,1 wk,sample,2
MT,2022-06-04,inc case,1453,A-2022-02-25,2022-05-28,1 wk,sample,2
MT,2022-06-04,inc case,3189,B-2022-02-25,2022-05-28,1 wk,sample,2
NL,2022-06-04,inc case,32884,A-2022-02-25,2022-05-28,1 wk,sample,2
NL,2022-06-04,inc case,25705,B-2022-02-25,2022-05-28,1 wk,sample,2
NO,2022-06-04,inc case,5923,A-2022-02-25,2022-05-28,1 wk,sample,2
NO,2022-06-04,inc case,8206,B-2022-02-25,2022-05-28,1 wk,sample,2
PL,2022-06-04,inc case,5239,A-2022-02-25,2022-05-28,1 wk,sample,2
PL,2022-06-04,inc case,8218,B-2022-02-25,2022-05-28,1 wk,sample,2
PT,2022-06-04,inc case,858482,A-2022-02-25,2022-05-28,1 wk,sample,2
PT,2022-06-04,inc case,1362985,B-2022-02-25,2022-05-28,1 wk,sample,2
RO,2022-06-04,inc case,12779,A-2022-02-25,2022-05-28,1 wk,sample,2
RO,2022-06-04,inc case,12060,B-2022-02-25,2022-05-28,1 wk,sample,2
SE,2022-06-04,inc case,6483,A-2022-02-25,2022-05-28,1 wk,sample,2
SE,2022-06-04,inc case,5665,B-2022-02-25,2022-05-28,1 wk,sample,2
SI,2022-06-04,inc case,10919,A-2022-02-25,2022-05-28,1 wk,sample,2
SI,2022-06-04,inc case,11997,B-2022-02-25,2022-05-28,1 wk,sample,2
SK,2022-06-04,inc case,8009,A-2022-02-25,2022-05-28,1 wk,sample,2
SK,2022-06-04,inc case,7613,B-2022-02-25,2022-05-28,1 wk,sample,2
AT,2022-06-04,inc death,205,A-2022-02-25,2022-05-28,1 wk,sample,2
AT,2022-06-04,inc death,237,B-2022-02-25,2022-05-28,1 wk,sample,2
BE,2022-06-04,inc death,223,A-2022-02-25,2022-05-28,1 wk,sample,2
BE,2022-06-04,inc death,163,B-2022-02-25,2022-05-28,1 wk,sample,2
BG,2022-06-04,inc death,281,A-2022-02-25,2022-05-28,1 wk,sample,2
BG,2022-06-04,inc death,298,B-2022-02-25,2022-05-28,1 wk,sample,2
