location,target_end_date,value,scenario_id,forecast_date,target,type,quantile
AT,2022-02-05,81,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.45
AT,2022-02-05,83,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.5
AT,2022-02-05,85,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.55
AT,2022-02-05,87,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.6
AT,2022-02-05,89,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.65
AT,2022-02-05,92,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.7
AT,2022-02-05,94,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.75
AT,2022-02-05,97,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.8
AT,2022-02-05,100,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.85
AT,2022-02-05,104,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.9
AT,2022-02-05,110,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.95
AT,2022-02-05,116,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.975
AT,2022-02-05,122,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.99
AT,2022-02-05,100854,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.01
AT,2022-02-05,114675,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.025
AT,2022-02-05,126561,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.05
AT,2022-02-05,140266,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.1
AT,2022-02-05,149512,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.15
AT,2022-02-05,156861,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.2
AT,2022-02-05,163165,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.25
AT,2022-02-05,168827,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.3
AT,2022-02-05,174073,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.35
AT,2022-02-05,179051,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.4
AT,2022-02-05,183868,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.45
AT,2022-02-05,188608,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.5
AT,2022-02-05,193348,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.55
AT,2022-02-05,198165,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.6
AT,2022-02-05,203143,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.65
AT,2022-02-05,208389,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.7
AT,2022-02-05,214051,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.75
AT,2022-02-05,220355,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.8
AT,2022-02-05,227704,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.85
AT,2022-02-05,236950,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.9
AT,2022-02-05,250655,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.95
AT,2022-02-05,262541,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.975
AT,2022-02-05,276362,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.99
AT,2022-02-05,107589,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.01
AT,2022-02-05,122333,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.025
AT,2022-02-05,135013,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.05
AT,2022-02-05,149633,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.1
AT,2022-02-05,159496,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.15
AT,2022-02-05,167336,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.2
AT,2022-02-05,174061,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.25
AT,2022-02-05,180101,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.3
AT,2022-02-05,185697,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.35
AT,2022-02-05,191008,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.4
AT,2022-02-05,196146,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.45
AT,2022-02-05,201203,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.5
AT,2022-02-05,206260,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.55
AT,2022-02-05,211398,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.6
AT,2022-02-05,216709,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.65
AT,2022-02-05,222305,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.7
AT,2022-02-05,228345,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.75
AT,2022-02-05,235070,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.8
AT,2022-02-05,242910,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.85
AT,2022-02-05,252773,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.9
AT,2022-02-05,267393,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.95
AT,2022-02-05,280073,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.975
AT,2022-02-05,294817,A-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.99
AT,2022-02-12,46,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.01
AT,2022-02-12,52,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.025
AT,2022-02-12,58,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.05
AT,2022-02-12,64,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.1
AT,2022-02-12,68,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.15
AT,2022-02-12,72,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.2
AT,2022-02-12,74,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.25
AT,2022-02-12,77,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.3
AT,2022-02-12,79,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.35
AT,2022-02-12,82,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.4
AT,2022-02-12,84,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.45
AT,2022-02-12,86,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.5
AT,2022-02-12,88,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.55
AT,2022-02-12,90,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.6
AT,2022-02-12,93,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.65
AT,2022-02-12,95,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.7
AT,2022-02-12,98,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.75
AT,2022-02-12,100,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.8
AT,2022-02-12,104,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.85
AT,2022-02-12,108,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.9
AT,2022-02-12,114,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.95
AT,2022-02-12,120,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.975
AT,2022-02-12,126,A-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.99
AT,2022-02-12,47,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.01
AT,2022-02-12,54,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.025
AT,2022-02-12,59,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.05
AT,2022-02-12,65,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.1
AT,2022-02-12,70,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.15
AT,2022-02-12,73,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.2
AT,2022-02-12,76,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.25
AT,2022-02-12,79,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.3
AT,2022-02-12,81,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.35
AT,2022-02-12,84,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.4
AT,2022-02-12,86,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.45
AT,2022-02-12,88,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.5
AT,2022-02-12,90,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.55
AT,2022-02-12,92,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.6
AT,2022-02-12,95,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.65
AT,2022-02-12,97,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.7
AT,2022-02-12,100,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.75
AT,2022-02-12,103,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.8
AT,2022-02-12,106,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.85
AT,2022-02-12,111,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.9
AT,2022-02-12,117,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.95
AT,2022-02-12,122,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.975
AT,2022-02-12,129,B-2022-02-03,2022-01-29,2 wk ahead inc death,quantile,0.99
AT,2022-02-12,111178,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.01
AT,2022-02-12,126414,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.025
AT,2022-02-12,139517,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.05
AT,2022-02-12,154624,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.1
AT,2022-02-12,164817,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.15
AT,2022-02-12,172918,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.2
AT,2022-02-12,179868,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.25
AT,2022-02-12,186109,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.3
AT,2022-02-12,191892,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.35
AT,2022-02-12,197380,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.4
AT,2022-02-12,202690,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.45
AT,2022-02-12,207915,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.5
AT,2022-02-12,213140,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.55
AT,2022-02-12,218450,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.6
AT,2022-02-12,223938,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.65
AT,2022-02-12,229721,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.7
AT,2022-02-12,235962,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.75
AT,2022-02-12,242912,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.8
AT,2022-02-12,251013,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.85
AT,2022-02-12,261206,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.9
AT,2022-02-12,276313,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.95
AT,2022-02-12,289416,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.975
AT,2022-02-12,304652,A-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.99
AT,2022-02-12,113652,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.01
AT,2022-02-12,129226,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.025
AT,2022-02-12,142621,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.05
AT,2022-02-12,158065,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.1
AT,2022-02-12,168484,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.15
AT,2022-02-12,176765,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.2
AT,2022-02-12,183870,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.25
AT,2022-02-12,190250,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.3
AT,2022-02-12,196162,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.35
AT,2022-02-12,201772,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.4
AT,2022-02-12,207199,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.45
AT,2022-02-12,212541,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.5
AT,2022-02-12,217883,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.55
AT,2022-02-12,223310,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.6
AT,2022-02-12,228920,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.65
AT,2022-02-12,234832,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.7
AT,2022-02-12,241212,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.75
AT,2022-02-12,248317,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.8
AT,2022-02-12,256598,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.85
AT,2022-02-12,267017,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.9
AT,2022-02-12,282461,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.95
AT,2022-02-12,295856,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.975
AT,2022-02-12,311430,B-2022-02-03,2022-01-29,2 wk ahead inc case,quantile,0.99
BE,2022-02-05,80,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.01
BE,2022-02-05,91,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.025
BE,2022-02-05,100,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.05
BE,2022-02-05,111,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.1
BE,2022-02-05,118,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.15
BE,2022-02-05,124,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.2
BE,2022-02-05,129,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.25
BE,2022-02-05,133,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.3
BE,2022-02-05,138,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.35
BE,2022-02-05,141,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.4
BE,2022-02-05,145,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.45
BE,2022-02-05,149,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.5
BE,2022-02-05,153,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.55
BE,2022-02-05,157,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.6
BE,2022-02-05,160,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.65
BE,2022-02-05,165,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.7
BE,2022-02-05,169,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.75
BE,2022-02-05,174,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.8
BE,2022-02-05,180,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.85
BE,2022-02-05,187,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.9
BE,2022-02-05,198,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.95
BE,2022-02-05,207,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.975
BE,2022-02-05,218,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.99
BE,2022-02-05,85,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.01
BE,2022-02-05,97,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.025
BE,2022-02-05,107,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.05
BE,2022-02-05,118,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.1
BE,2022-02-05,126,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.15
BE,2022-02-05,132,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.2
BE,2022-02-05,138,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.25
BE,2022-02-05,142,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.3
BE,2022-02-05,147,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.35
BE,2022-02-05,151,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.4
BE,2022-02-05,155,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.45
BE,2022-02-05,159,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.5
BE,2022-02-05,163,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.55
BE,2022-02-05,167,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.6
BE,2022-02-05,171,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.65
BE,2022-02-05,176,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.7
BE,2022-02-05,180,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.75
BE,2022-02-05,186,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.8
BE,2022-02-05,192,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.85
BE,2022-02-05,200,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.9
BE,2022-02-05,211,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.95
BE,2022-02-05,221,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.975
BE,2022-02-05,233,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.99
BE,2022-02-05,1145,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.01
BE,2022-02-05,1302,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.025
BE,2022-02-05,1437,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.05
BE,2022-02-05,1592,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.1
BE,2022-02-05,1697,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.15
BE,2022-02-05,1781,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.2
BE,2022-02-05,1852,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.25
BE,2022-02-05,1916,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.3
BE,2022-02-05,1976,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.35
BE,2022-02-05,2033,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.4
BE,2022-02-05,2087,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.45
BE,2022-02-05,2141,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.5
BE,2022-02-05,2195,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.55
BE,2022-02-05,2249,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.6
BE,2022-02-05,2306,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.65
BE,2022-02-05,2366,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.7
BE,2022-02-05,2430,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.75
BE,2022-02-05,2501,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.8
BE,2022-02-05,2585,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.85
BE,2022-02-05,2690,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.9
BE,2022-02-05,2845,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.95
BE,2022-02-05,2980,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.975
BE,2022-02-05,3137,B-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.99
BE,2022-02-05,1221,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.01
BE,2022-02-05,1388,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.025
BE,2022-02-05,1532,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.05
BE,2022-02-05,1698,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.1
BE,2022-02-05,1810,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.15
BE,2022-02-05,1899,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.2
BE,2022-02-05,1975,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.25
BE,2022-02-05,2044,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.3
BE,2022-02-05,2107,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.35
BE,2022-02-05,2167,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.4
BE,2022-02-05,2226,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.45
BE,2022-02-05,2283,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.5
BE,2022-02-05,2340,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.55
BE,2022-02-05,2399,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.6
BE,2022-02-05,2459,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.65
BE,2022-02-05,2522,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.7
BE,2022-02-05,2591,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.75
BE,2022-02-05,2667,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.8
BE,2022-02-05,2756,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.85
BE,2022-02-05,2868,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.9
BE,2022-02-05,3034,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.95
BE,2022-02-05,3178,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.975
BE,2022-02-05,3345,A-2022-02-03,2022-01-29,1 wk ahead inc hosp,quantile,0.99
BE,2022-02-05,161892,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.01
BE,2022-02-05,184077,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.025
BE,2022-02-05,203157,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.05
BE,2022-02-05,225155,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.1
BE,2022-02-05,239997,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.15
BE,2022-02-05,251793,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.2
BE,2022-02-05,261913,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.25
BE,2022-02-05,271001,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.3
BE,2022-02-05,279423,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.35
BE,2022-02-05,287414,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.4
BE,2022-02-05,295145,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.45
BE,2022-02-05,302754,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.5
BE,2022-02-05,310363,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.55
BE,2022-02-05,318094,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.6
BE,2022-02-05,326085,B-2022-02-03,2022-01-29,1 wk ahead inc case,quantile,0.65
